"","genotype","emmean","SE","df","asymp.LCL","asymp.UCL",".group"
"9","2014009-034",0.299123031803741,0.00893796480046543,Inf,0.281604942699742,0.31664112090774," a "
"11","2014009-046",0.302135024171422,0.00893805459271859,Inf,0.284616759077841,0.319653289265004," a "
"15","W1425-006",0.314104732582754,0.00893795164136204,Inf,0.296586669270124,0.331622795895384," ab"
"6","2014008-016",0.32170835247084,0.00893798003901241,Inf,0.304190233499837,0.339226471441842," ab"
"3","2014005-024",0.322215642601552,0.00893807180618405,Inf,0.304697343770198,0.339733941432905," ab"
"10","2014009-041",0.326945508707716,0.0089379300311991,Inf,0.309427487750227,0.344463529665205," ab"
"14","W1411-017",0.327166588736947,0.00893800847686905,Inf,0.30964841402877,0.344684763445124," ab"
"2","2014005-019",0.332914467631675,0.00893837170393935,Inf,0.315395581011522,0.350433354251828," ab"
"8","2014009-012",0.335430243829133,0.00893796075736338,Inf,0.317912162649469,0.352948325008798," ab"
"7","2014009-010",0.336222917909869,0.00893794037635902,Inf,0.318704876676239,0.353740959143499," ab"
"4","2014006-046",0.337662269553515,0.00893788561538323,Inf,0.320144335649425,0.355180203457605," ab"
"5","2014007-001",0.340316242433764,0.00893800053492637,Inf,0.322798083291509,0.35783440157602," ab"
"13","W1406-001",0.341988771934025,0.00893806999996716,Inf,0.324470476642791,0.359507067225258," ab"
"12","2014010-010",0.347476162179374,0.00893803717636242,Inf,0.329957931221224,0.364994393137524,"  b"
"1","2014001-005",0.348039351199485,0.00893808827304125,Inf,0.330521020093685,0.365557682305286,"  b"
