"genotype","rep","image","area","SE","df","asymp.LCL","asymp.UCL"
"2014001-005",1,1,7.99666071290095,0.829543409337528,Inf,6.45342844633718,9.70517885816542
"2014005-019",1,1,2.85619341453196,0.495768111646727,Inf,1.96714871037408,3.91052399739611
"2014005-024",1,1,5.80263187107064,0.706638493939031,Inf,4.50028881221366,7.27026080863391
"2014006-046",1,1,4.58080996681195,0.624306005905188,Inf,3.43890526325143,5.88613983706387
"2014007-001",1,1,4.46207444917851,0.619659608607842,Inf,3.3302068729861,5.75922790407722
"2014008-016",1,1,4.62930116481025,0.631164407031056,Inf,3.47488459805894,5.94900361026784
"2014009-010",1,1,3.66231133082019,0.55821822354046,Inf,2.64993630235025,4.83811152965671
"2014009-012",1,1,7.84389075869327,0.827043942226084,Inf,6.30665998465525,9.54861266544555
"2014009-034",1,1,6.15978075303924,0.728060399295476,Inf,4.8154515312034,7.66939585358137
"2014009-041",1,1,5.60102471799324,0.690314778808949,Inf,4.32974032448233,7.03572453340488
"2014009-046",1,1,6.31110995799144,0.736949376496572,Inf,4.94935866098206,7.83814713370712
"2014010-010",1,1,4.96016858012082,0.657697236369904,Inf,3.75485702859216,6.33298282062524
"W1406-001",1,1,5.22561337293372,0.670584358978454,Inf,3.99393512009322,6.62257750448052
"W1411-017",1,1,6.00117501767388,0.723429046134726,Inf,4.66703148527835,7.50282123686681
"W1425-006",1,1,6.81077331672749,0.76556663061907,Inf,5.39293323230157,8.39389927985968
"2014001-005",2,1,8.28599015626295,0.844417040352584,Inf,6.71360610859057,10.0236600826365
"2014005-019",2,1,3.03014256786472,0.510641742660811,Inf,2.1119460825999,4.11362493183582
"2014005-024",2,1,6.04947523207774,0.721512124953111,Inf,4.71798039211382,7.54625595074794
"2014006-046",2,1,4.80041753248918,0.639076630897134,Inf,3.62955806495051,6.13469242478968
"2014007-001",2,1,4.6788507288739,0.634533239621924,Inf,3.51783137157455,6.00515596487954
"2014008-016",2,1,4.85005445235471,0.646038038045139,Inf,3.66648610449646,6.19890867891924
"2014009-010",2,1,3.85894381493858,0.572990806799538,Inf,2.81761018101873,5.06369287061801
"2014009-012",2,1,8.13046784312885,0.842045499008757,Inf,6.56384033315426,9.8645980359567
"2014009-034",2,1,6.4140292925302,0.742934030309556,Inf,5.04054828958742,7.95279617417926
"2014009-041",2,1,5.84358705108227,0.705125042314437,Inf,4.54327994864558,7.30731932371273
"2014009-046",2,1,6.56843126162815,0.751823007510652,Inf,5.17752818351182,8.12462021845075
"2014010-010",2,1,5.18858433395217,0.672647063227816,Inf,3.95396587966786,6.59069391613417
"W1406-001",2,1,5.45999344927863,0.685457989992536,Inf,4.19916341533118,6.88610936193236
"W1411-017",2,1,6.25216225163437,0.738376613021798,Inf,4.88871624789069,7.78309938498948
"W1425-006",2,1,7.07798710522812,0.780440261633148,Inf,5.63099523969527,8.69026484946724
"2014001-005",1,10,8.51423675294288,0.861689231491515,Inf,6.90910824015335,10.2868679593321
"2014005-019",1,10,3.73552909303567,0.575290145839953,Inf,2.69306709327586,4.94816302629007
"2014005-024",1,10,5.77526366131797,0.704970088241828,Inf,4.47619061753909,7.2396225838031
"2014006-046",1,10,3.16102035086981,0.51860896627333,Inf,2.22627803826022,4.25918783017077
"2014007-001",1,10,4.74303139312966,0.63887042193344,Inf,3.57351131470533,6.07783735026023
"2014008-016",1,10,5.70547010380579,0.700697389197793,Inf,4.41477139626999,7.16145469004783
"2014009-010",1,10,4.79045230413426,0.638412948062432,Inf,3.62089362954763,6.12342640048044
"2014009-012",1,10,7.05275005757471,0.779047662577967,Inf,5.6084876360349,8.66229835782076
"2014009-034",1,10,5.25560226662722,0.672505790209438,Inf,4.02015807777519,6.65633233418549
"2014009-041",1,10,5.22865454681724,0.67077946210462,Inf,3.99659389887616,6.62600107346457
"2014009-046",1,10,6.20652373807361,0.730817591458668,Inf,4.85679051889944,7.72154283595404
"2014010-010",1,10,4.88124736020607,0.648112190779468,Inf,3.69361374769009,6.2341668514283
"W1406-001",1,10,4.00868385724855,0.587334735125155,Inf,2.940171868887,5.24248172431635
"W1411-017",1,10,6.28122864534979,0.735202683555831,Inf,4.92290080359629,7.80484236580954
"W1425-006",1,10,7.1597059886468,0.784932617822555,Inf,5.70390926677698,8.78078858922287
"2014001-005",2,10,8.81270079363714,0.876631997024122,Inf,7.17827921390415,10.6146134976296
"2014005-019",2,10,3.93409184025315,0.590337625986674,Inf,2.86212452649115,5.17620549779667
"2014005-024",2,10,6.02153028361929,0.719843719255915,Inf,4.69330545873346,7.51504098721137
"2014006-046",2,10,3.34388288155663,0.533382741662745,Inf,2.38017963030332,4.47100155757174
"2014007-001",2,10,4.96644851541722,0.653744052947527,Inf,3.76777665588594,6.33040625365474
"2014008-016",2,10,5.95025972868309,0.71557102021188,Inf,4.63040924004035,7.43539609603209
"2014009-010",2,10,5.01497069346057,0.653221664150548,Inf,3.81639234298744,6.37697421430023
"2014009-012",2,10,7.32462400333687,0.793921293592055,Inf,5.85120980069012,8.96332408468987
"2014009-034",2,10,5.49064654818514,0.687379421223525,Inf,4.22605057822617,6.92052839685036
"2014009-041",2,10,5.46310206690482,0.685653093118707,Inf,4.2018896378568,6.8896003746591
"2014009-046",2,10,6.46172539073278,0.745691222472754,Inf,5.08284039045166,8.00589626972014
"2014010-010",2,10,5.10785920054847,0.662985821793554,Inf,3.89107380692554,6.48993047287765
"W1406-001",2,10,4.21428599283193,0.602208366139242,Inf,3.11662222336343,5.47723564100668
"W1411-017",2,10,6.53794614774815,0.750076314569917,Inf,5.1504665248877,8.09071164931484
"W1425-006",2,10,7.43361426063861,0.799806248836641,Inf,5.94866575766184,9.08384864232163
"2014001-005",1,11,8.25573848388454,0.842874171879078,Inf,6.68637840285552,9.99038444361955
"2014005-019",1,11,3.63598025411158,0.571515128486007,Inf,2.60210323940153,4.84240137630624
"2014005-024",1,11,6.12175742708051,0.725809821519003,Inf,4.78183925663094,7.62696147623632
"2014006-046",1,11,4.07665796035873,0.592293436045369,Inf,2.99842709678346,5.32017470264026
"2014007-001",1,11,4.40082960764061,0.615392301804697,Inf,3.27732579909333,5.68961929489415
"2014008-016",1,11,5.39443370385328,0.685884081214067,Inf,4.13387694960829,6.82249314310612
"2014009-010",1,11,3.96692624334821,0.584267655932987,Inf,2.90442561974104,5.19471274566163
"2014009-012",1,11,7.58023756022037,0.807655566185386,Inf,6.07990467793683,9.24585632121015
"2014009-034",1,11,6.41742544024324,0.7431306913857,Inf,5.04355898867405,7.95657777051869
"2014009-041",1,11,5.7478233332372,0.7032933125417,Inf,4.45203670944073,7.20889583573993
"2014009-046",1,11,6.54214422021461,0.750317091209479,Inf,5.1541926838123,8.09538163532317
"2014010-010",1,11,5.34130441893844,0.677966832115193,Inf,4.09515678463307,6.75273793195005
"W1406-001",1,11,4.18949585110587,0.600434536605297,Inf,3.09530872363862,5.44896885727938
"W1411-017",1,11,4.15562903861851,0.598002732532657,Inf,3.06620815955109,5.41033579639218
"W1425-006",1,11,7.80203750247156,0.819386490004649,Inf,6.27871243199688,9.49064845165248
"2014001-005",2,11,8.54967613899079,0.857747802893403,Inf,6.9511642768544,10.3134738798333
