"genotype","rep","image","avg_cone_weight_adj","SE","df","lower.CL","upper.CL"
"2014001-005","1","1",0.306248540598773,0.0335899721285233,152.908288609467,0.243483069767938,0.376203751558907
"2014005-019","1","1",0.105185403770816,0.0196856776258698,152.908294384618,0.0698892538402065,0.14767129382639
"2014005-024","1","1",0.136540757233989,0.0224286835329776,152.908294455317,0.0958255254917571,0.184445729101131
"2014006-046","1","1",0.137372375775928,0.0224968821971922,152.908294550612,0.0965224107692273,0.185412080907468
"2014007-001","1","1",0.154918167264332,0.0238904211004984,152.908294409616,0.111315127134439,0.205710947519169
"2014008-016","1","1",0.120910389955359,0.0211059274285635,152.908294387795,0.0828083948554139,0.166202125180264
"2014009-010","1","1",0.0818724541792791,0.0173676690177684,152.908294370799,0.051155761498491,0.119778886985041
"2014009-012","1","1",0.201442938155169,0.0272426062390263,152.908294335985,0.151217321869957,0.258858294565381
"2014009-034","1","1",0.138330185527001,0.0225751741527101,152.908294185844,0.097325546951059,0.186524564228056
"2014009-041","1","1",0.103279990920448,0.0273330530977866,166.340148559304,0.0563647583658233,0.164293588958714
"2014009-046","1","1",0.164792107937368,0.0246400074110897,152.908294218319,0.119708185271761,0.217065770728064
"2014010-010","1","1",0.133917606977428,0.0222121946008312,152.908294387376,0.093630070717456,0.181394883362362
"W1406-001","1","1",0.149366635717222,0.0234584562742872,152.908294379399,0.106616985194258,0.199306026365154
"W1411-017","1","1",0.167515762437085,0.0248427957513972,152.908294366824,0.122031211175357,0.220190053823791
"W1425-006","1","1",0.219297823005132,0.0284243007587899,152.908294222625,0.166737651309987,0.279047734825362
"2014001-005","2","1",0.309156979480011,0.0337490970097144,152.908289238191,0.246077141573941,0.379426557514909
"2014005-019","2","1",0.106892763062889,0.0198448025070615,152.908294363812,0.0712822460551519,0.149693020195605
"2014005-024","2","1",0.138485062629825,0.0225878084141693,152.908294434116,0.097455463810461,0.186704401574116
"2014006-046","2","1",0.139322572302996,0.0226560070783839,152.908294529323,0.0981582402191639,0.187676644511683
"2014007-001","2","1",0.156988740350825,0.0240495459816901,152.908294388366,0.113071333143796,0.208095887682815
"2014008-016","2","1",0.122740433145503,0.0212650523097551,152.908294366813,0.0843240709684284,0.168346535447555
"2014009-010","2","1",0.0833795794482463,0.0175267938989601,152.908294350083,0.0523485196903362,0.121600379331146
"2014009-012","2","1",0.20380307941416,0.0274017311202179,152.908294315269,0.153263096051804,0.261532802901531
"2014009-034","2","1",0.140287145063134,0.0227342990339018,152.908294165219,0.0989681394100561,0.188795890841341
"2014009-041","2","1",0.104971877833352,0.0280646134393497,141.320773983937,0.0568219493670261,0.167783405413196
"2014009-046","2","1",0.166927431725007,0.0247991322922814,152.908294196463,0.121529141982257,0.219515461592861
"2014010-010","2","1",0.135843211644678,0.0223713194820229,152.908294365697,0.0952413083075717,0.183634855106762
