"genotype","image","rep","emmean","SE","df","asymp.LCL","asymp.UCL"
"2014001-005","1","1",0.0376793714745728,0.00572966344122479,Inf,0.0264494374862364,0.0489093054629092
"2014005-019","1","1",0.03495217407338,0.00572966344122647,Inf,0.0237222400850403,0.0461821080617197
"2014005-024","1","1",0.0234138015352733,0.00572966344122647,Inf,0.0121838675469336,0.034643735523613
"2014006-046","1","1",0.0296407993660518,0.00572966344122645,Inf,0.0184108653777121,0.0408707333543914
"2014007-001","1","1",0.0337023653422185,0.00572966344122645,Inf,0.0224724313538788,0.0449322993305582
"2014008-016","1","1",0.0262336669164009,0.00572966344122645,Inf,0.0150037329280612,0.0374636009047405
"2014009-010","1","1",0.0218924464216336,0.00572966344122645,Inf,0.0106625124332939,0.0331223804099733
"2014009-012","1","1",0.0254737534075037,0.00572966344122645,Inf,0.0142438194191641,0.0367036873958434
"2014009-034","1","1",0.022272508567597,0.00572966344122645,Inf,0.0110425745792573,0.0335024425559366
"2014009-041","1","1",0.0153593886268815,0.00806033247440035,Inf,-0.000438572726361774,0.0311573499801248
"2014009-046","1","1",0.0262146170392137,0.00572966344122645,Inf,0.014984683050874,0.0374445510275533
"2014010-010","1","1",0.0269766776096466,0.00572966344122645,Inf,0.0157467436213069,0.0382066115979862
"W1406-001","1","1",0.0280654646547618,0.00572966344122646,Inf,0.0168355306664221,0.0392953986431015
"W1411-017","1","1",0.0276669284884325,0.00572966344122647,Inf,0.0164369945000928,0.0388968624767722
"W1425-006","1","1",0.0311293790303059,0.00572966344122648,Inf,0.0198994450419661,0.0423593130186456
"2014001-005","10","1",0.0363912461483536,0.00572966344122643,Inf,0.0251613121600139,0.0476211801366932
"2014005-019","10","1",0.0374702490470897,0.00572966344122645,Inf,0.0262403150587501,0.0487001830354294
"2014005-024","10","1",0.0259763153057306,0.00572966344122644,Inf,0.014746381317391,0.0372062492940703
"2014006-046","10","1",0.0291948709101993,0.00572966344122645,Inf,0.0179649369218597,0.040424804898539
"2014007-001","10","1",0.0334830741444552,0.00572966344122644,Inf,0.0222531401561155,0.0447130081327948
"2014008-016","10","1",0.0237490184445233,0.00572966344122645,Inf,0.0125190844561836,0.034978952432863
"2014009-010","10","1",0.0198864209929334,0.00572966344122644,Inf,0.00865648700459378,0.0311163549812731
"2014009-012","10","1",0.0298950907217923,0.00572966344122644,Inf,0.0186651567334527,0.041125024710132
"2014009-034","10","1",0.0246657376773233,0.00572966344122644,Inf,0.0134358036889836,0.0358956716656629
"2014009-041","10","1",0.0219865873915598,0.00806033247440036,Inf,0.00618862603831649,0.0377845487448031
"2014009-046","10","1",0.0240749497326725,0.00572966344122643,Inf,0.0128450157443329,0.0353048837210121
"2014010-010","10","1",0.0246446169252004,0.00572966344122644,Inf,0.0134146829368607,0.03587455091354
"W1406-001","10","1",0.0248551572213613,0.00572966344122645,Inf,0.0136252232330217,0.036085091209701
"W1411-017","10","1",0.0251303988231844,0.00572966344122645,Inf,0.0139004648348447,0.036360332811524
"W1425-006","10","1",0.0384726918059683,0.00572966344122644,Inf,0.0272427578176287,0.049702625794308
"2014001-005","11","1",0.035958024502583,0.00572966344122645,Inf,0.0247280905142433,0.0471879584909227
"2014005-019","11","1",0.0359142046651975,0.00572966344122644,Inf,0.0246842706768579,0.0471441386535372
"2014005-024","11","1",0.0181270847727602,0.00572966344122644,Inf,0.00689715078442058,0.0293570187610999
"2014006-046","11","1",0.0287298771254534,0.00572966344122644,Inf,0.0174999431371137,0.039959811113793
"2014007-001","11","1",0.037075769456206,0.00572966344122643,Inf,0.0258458354678663,0.0483057034445456
"2014008-016","11","1",0.0340143234054613,0.00572966344122645,Inf,0.0227843894171216,0.0452442573938009
"2014009-010","11","1",0.0217472699722867,0.00572966344122644,Inf,0.010517335983947,0.0329772039606264
"2014009-012","11","1",0.0312200004056745,0.00572966344122644,Inf,0.0199900664173349,0.0424499343940141
"2014009-034","11","1",0.016953394890666,0.00572966344122643,Inf,0.00572346090232641,0.0281833288790057
"2014009-041","11","1",0.0273040846923266,0.00806033247440036,Inf,0.0115061233390833,0.0431020460455699
"2014009-046","11","1",0.0223114616886256,0.00572966344122643,Inf,0.011081527700286,0.0335413956769652
"2014010-010","11","1",0.0218135316650276,0.00572966344122644,Inf,0.010583597676688,0.0330434656533673
"W1406-001","11","1",0.027500212109492,0.00572966344122644,Inf,0.0162702781211523,0.0387301460978316
"W1411-017","11","1",0.0409026172335596,0.00572966344122643,Inf,0.02967268324522,0.0521325512218992
"W1425-006","11","1",0.0240466969253618,0.00572966344122643,Inf,0.0128167629370221,0.0352766309137014
"2014001-005","12","1",0.0405635331618004,0.00572966344122645,Inf,0.0293335991734607,0.0517934671501401
"2014005-019","12","1",0.0322344107054956,0.00572966344122645,Inf,0.021004476717156,0.0434643446938353
"2014005-024","12","1",0.0216428623557172,0.00572966344122645,Inf,0.0104129283673775,0.0328727963440568
"2014006-046","12","1",0.0298231401727448,0.00572966344122645,Inf,0.0185932061844052,0.0410530741610845
"2014007-001","12","1",0.0371580439795555,0.00572966344122643,Inf,0.0259281099912159,0.0483879779678951
"2014008-016","12","1",0.0328134956274389,0.00572966344122645,Inf,0.0215835616390993,0.0440434296157786
"2014009-010","12","1",0.0188598393348566,0.00572966344122645,Inf,0.00762990534651695,0.0300897733231963
"2014009-012","12","1",0.0184775993232345,0.00572966344122644,Inf,0.00724766533489482,0.0297075333115741
"2014009-034","12","1",0.0192707790026751,0.00572966344122644,Inf,0.00804084501433547,0.0305007129910148
"2014009-041","12","1",0.030689451774942,0.00806033247440035,Inf,0.0148914904216987,0.0464874131281853
"2014009-046","12","1",0.0243320536737143,0.00572966344122643,Inf,0.0131021196853747,0.0355619876620539
"2014010-010","12","1",0.0261552836933752,0.00572966344122644,Inf,0.0149253497050356,0.0373852176817149
"W1406-001","12","1",0.0312340273441642,0.00572966344122645,Inf,0.0200040933558245,0.0424639613325039
"W1411-017","12","1",0.0271047278777437,0.00572966344122644,Inf,0.0158747938894041,0.0383346618660834
"W1425-006","12","1",0.0229769818966988,0.00572966344122644,Inf,0.0117470479083591,0.0342069158850384
"2014001-005","13","1",0.0303543625396506,0.00572966344122644,Inf,0.019124428551311,0.0415842965279903
"2014005-019","13","1",0.0377152035964673,0.00572966344122645,Inf,0.0264852696081276,0.048945137584807
"2014005-024","13","1",0.0277767182237063,0.00572966344122645,Inf,0.0165467842353667,0.039006652212046
"2014006-046","13","1",0.030837007895178,0.00572966344122644,Inf,0.0196070739068383,0.0420669418835176
"2014007-001","13","1",0.0326515257807725,0.00572966344122644,Inf,0.0214215917924329,0.0438814597691122
"2014008-016","13","1",0.0249876536280492,0.00572966344122645,Inf,0.0137577196397096,0.0362175876163889
"2014009-010","13","1",0.0295660151115357,0.00572966344122644,Inf,0.0183360811231961,0.0407959490998754
"2014009-012","13","1",0.0323753054657655,0.00572966344122644,Inf,0.0211453714774258,0.0436052394541051
"2014009-034","13","1",0.0236734765811607,0.00572966344122643,Inf,0.012443542592821,0.0349034105695003
"2014009-041","13","1",0.0244096473782259,0.00806033247440036,Inf,0.00861168602498262,0.0402076087314693
"2014009-046","13","1",0.0233660730810376,0.00572966344122643,Inf,0.0121361390926979,0.0345960070693772
"2014010-010","13","1",0.0287690441957512,0.00572966344122643,Inf,0.0175391102074115,0.0399989781840908
"W1406-001","13","1",0.0333578543082523,0.00572966344122644,Inf,0.0221279203199127,0.044587788296592
"W1411-017","13","1",0.0338462740215795,0.00572966344122643,Inf,0.0226163400332399,0.0450762080099191
"W1425-006","13","1",0.0262507385081683,0.00572966344122643,Inf,0.0150208045198287,0.0374806724965079
"2014001-005","14","1",0.0342738096585641,0.00572966344122647,Inf,0.0230438756702244,0.0455037436469038
"2014005-019","14","1",0.0378873793305627,0.00572966344122644,Inf,0.0266574453422231,0.0491173133189024
"2014005-024","14","1",0.0261995986122953,0.00572966344122645,Inf,0.0149696646239556,0.0374295326006349
"2014006-046","14","1",0.0282720289298864,0.00572966344122645,Inf,0.0170420949415467,0.0395019629182261
"2014007-001","14","1",0.0281258513990098,0.00572966344122644,Inf,0.0168959174106701,0.0393557853873494
"2014008-016","14","1",0.0263420336102236,0.00572966344122645,Inf,0.015112099621884,0.0375719675985633
"2014009-010","14","1",0.0284691979656022,0.00572966344122645,Inf,0.0172392639772625,0.0396991319539419
"2014009-012","14","1",0.0279364618775375,0.00572966344122645,Inf,0.0167065278891978,0.0391663958658771
"2014009-034","14","1",0.0324801357607857,0.00572966344122644,Inf,0.0212502017724461,0.0437100697491254
"2014009-041","14","1",0.0215183271741343,0.00806033247440036,Inf,0.00572036582089096,0.0373162885273776
