"genotype","rep","image","emmean","SE","df","asymp.LCL","asymp.UCL"
"2014001-005","1","1",0.343933590270755,0.0104098335082685,Inf,0.32353069150949,0.364336489032019
"2014005-019","1","1",0.327156180586302,0.0104098335080381,Inf,0.306753281825489,0.347559079347115
"2014005-024","1","1",0.316519824375663,0.0104098335080374,Inf,0.296116925614852,0.336922723136475
"2014006-046","1","1",0.327697133802505,0.0103644382158448,Inf,0.307383208179458,0.348011059425551
"2014007-001","1","1",0.335948952903875,0.010409833508037,Inf,0.315546054143065,0.356351851664686
"2014008-016","1","1",0.323029399036061,0.0104098335080382,Inf,0.302626500275248,0.343432297796874
"2014009-010","1","1",0.337202220159258,0.0103644385469484,Inf,0.316888293887261,0.357516146431256
"2014009-012","1","1",0.335731553296652,0.0104606288071611,Inf,0.315229097578974,0.35623400901433
"2014009-034","1","1",0.293740535558446,0.0104098335080377,Inf,0.273337636797634,0.314143434319258
"2014009-041","1","1",0.325208131298606,0.0103642005540285,Inf,0.30489467148416,0.345521591113052
"2014009-046","1","1",0.29664700033832,0.010409833508038,Inf,0.276244101577508,0.317049899099133
"2014010-010","1","1",0.344379845444119,0.0104608941902599,Inf,0.323876869585125,0.364882821303112
"W1406-001","1","1",0.340847803022001,0.0104098335080375,Inf,0.320444904261189,0.361250701782813
"W1411-017","1","1",0.321943535815222,0.0104608939694043,Inf,0.301440560389098,0.342446511241347
"W1425-006","1","1",0.307993077176005,0.0104098335080381,Inf,0.287590178415193,0.328395975936818
"2014001-005","2","1",0.348425394750438,0.0104098335082108,Inf,0.328022495989287,0.368828293511589
"2014005-019","2","1",0.331647985065986,0.0104098335080383,Inf,0.311245086305172,0.352050883826799
"2014005-024","2","1",0.321011628855347,0.0104098335080376,Inf,0.300608730094535,0.341414527616159
"2014006-046","2","1",0.332188938282188,0.0103642007108119,Inf,0.311875478160452,0.352502398403924
"2014007-001","2","1",0.340440757383559,0.0104098335080374,Inf,0.320037858622747,0.36084365614437
"2014008-016","2","1",0.327521203515744,0.0104098335080386,Inf,0.30711830475493,0.347924102276558
"2014009-010","2","1",0.341694024638942,0.0103642005321399,Inf,0.321380564867397,0.362007484410487
"2014009-012","2","1",0.340223357776335,0.0104608936709223,Inf,0.319720382935225,0.360726332617446
"2014009-034","2","1",0.298232340038129,0.0104098335080381,Inf,0.277829441277316,0.318635238798942
"2014009-041","2","1",0.329699935778289,0.0103644385063867,Inf,0.309386009585791,0.350013861970787
"2014009-046","2","1",0.301138804818004,0.0104098335080383,Inf,0.28073590605719,0.321541703578817
"2014010-010","2","1",0.348871649923802,0.0104606285488028,Inf,0.328369194712497,0.369374105135107
"W1406-001","2","1",0.345339607501684,0.010409833508038,Inf,0.324936708740872,0.365742506262497
"W1411-017","2","1",0.326435340294906,0.0104606286586726,Inf,0.30593288486826,0.346937795721552
"W1425-006","2","1",0.312484881655689,0.0104098335080385,Inf,0.292081982894875,0.332887780416503
"2014001-005","1","10",0.347912421419801,0.0104608945363077,Inf,0.327409444882566,0.368415397957036
"2014005-019","1","10",0.326268420496734,0.0105184197087275,Inf,0.305652696693352,0.346884144300116
"2014005-024","1","10",0.316941179534667,0.0104098335080368,Inf,0.296538280773857,0.337344078295478
"2014006-046","1","10",0.32823386842131,0.0103644382158441,Inf,0.307919942798265,0.348547794044355
"2014007-001","1","10",0.342986174777104,0.0104098335080365,Inf,0.322583276016294,0.363389073537914
"2014008-016","1","10",0.322963723353127,0.0104098335080375,Inf,0.302560824592315,0.343366622113939
"2014009-010","1","10",0.337609391970835,0.0103642005321389,Inf,0.317295932199292,0.357922851742378
"2014009-012","1","10",0.334334134297797,0.0104098335080381,Inf,0.313931235536984,0.35473703305861
"2014009-034","1","10",0.296138728338918,0.0104098335080371,Inf,0.275735829578107,0.316541627099729
"2014009-041","1","10",0.322581778276296,0.0104098335080374,Inf,0.302178879515485,0.342984677037108
"2014009-046","1","10",0.292670504427586,0.0104098335080373,Inf,0.272267605666774,0.313073403188397
"2014010-010","1","10",0.351208020357335,0.0104098335080363,Inf,0.330805121596526,0.371610919118145
"W1406-001","1","10",0.334581966016877,0.0104098335080368,Inf,0.314179067256067,0.354984864777688
"W1411-017","1","10",0.325417132269681,0.0104098335080369,Inf,0.30501423350887,0.345820031030491
"W1425-006","1","10",0.312429048065604,0.0104098335080374,Inf,0.292026149304792,0.332831946826416
"2014001-005","2","10",0.352404225899484,0.0104606283768203,Inf,0.331901771025259,0.37290668077371
"2014005-019","2","10",0.330760224976418,0.0105178498797559,Inf,0.310145618017297,0.351374831935538
"2014005-024","2","10",0.321432984014351,0.010409833508037,Inf,0.30103008525354,0.341835882775161
"2014006-046","2","10",0.332725672900994,0.0103642007108111,Inf,0.312412212779259,0.353039133022728
"2014007-001","2","10",0.347477979256788,0.0104098335080369,Inf,0.327075080495977,0.367880878017598
"2014008-016","2","10",0.32745552783281,0.0104098335080377,Inf,0.307052629071998,0.347858426593622
"2014009-010","2","10",0.342101196450519,0.0103644385469483,Inf,0.321787270178521,0.362415122722516
"2014009-012","2","10",0.33882593877748,0.0104098335080383,Inf,0.318423040016667,0.359228837538293
"2014009-034","2","10",0.300630532818601,0.0104098335080374,Inf,0.28022763405779,0.321033431579413
"2014009-041","2","10",0.32707358275598,0.0104098335080377,Inf,0.306670683995168,0.347476481516792
"2014009-046","2","10",0.297162308907269,0.0104098335080375,Inf,0.276759410146457,0.317565207668081
"2014010-010","2","10",0.355699824837019,0.0104098335080366,Inf,0.335296926076209,0.376102723597829
"W1406-001","2","10",0.339073770496561,0.0104098335080373,Inf,0.318670871735749,0.359476669257372
"W1411-017","2","10",0.329908936749364,0.0104098335080372,Inf,0.309506037988553,0.350311835510175
"W1425-006","2","10",0.316920852545287,0.0104098335080377,Inf,0.296517953784475,0.3373237513061
"2014001-005","1","11",0.34328986329938,0.0104098335081776,Inf,0.322886964538294,0.363692762060467
"2014005-019","1","11",0.320885022606998,0.0105788463663693,Inf,0.300150864730932,0.341619180483064
"2014005-024","1","11",0.3158249825597,0.0104098335080368,Inf,0.29542208379889,0.33622788132051
"2014006-046","1","11",0.335264223928877,0.0104098335080375,Inf,0.314861325168065,0.355667122689688
"2014007-001","1","11",0.338681932753119,0.0104098335080365,Inf,0.318279033992309,0.359084831513928
"2014008-016","1","11",0.320857304244911,0.0104608937781818,Inf,0.300354329193576,0.341360279296247
"2014009-010","1","11",0.340780423935877,0.010409833508037,Inf,0.320377525175066,0.361183322696687
"2014009-012","1","11",0.328035988276932,0.0104098335080381,Inf,0.307633089516119,0.348438887037745
"2014009-034","1","11",0.301309285114878,0.0104098335080371,Inf,0.280906386354068,0.321712183875689
"2014009-041","1","11",0.327959773384164,0.0104098335080374,Inf,0.307556874623352,0.348362672144975
"2014009-046","1","11",0.289259686871786,0.0104098335080373,Inf,0.268856788110975,0.309662585632597
"2014010-010","1","11",0.342402570629023,0.0104098335080363,Inf,0.321999671868214,0.362805469389833
"W1406-001","1","11",0.336325762435301,0.0104098335080368,Inf,0.31592286367449,0.356728661196111
"W1411-017","1","11",0.322248001011583,0.0104098335080369,Inf,0.301845102250772,0.342650899772393
"W1425-006","1","11",0.318641659715847,0.0104098335080374,Inf,0.298238760955036,0.339044558476659
"2014001-005","2","11",0.347781667779064,0.0104098335081334,Inf,0.327378769018064,0.368184566540063
"2014005-019","2","11",0.325376827086682,0.0105785444617503,Inf,0.304643260932795,0.346110393240568
"2014005-024","2","11",0.320316787039383,0.0104098335080369,Inf,0.299913888278573,0.340719685800194
"2014006-046","2","11",0.33975602840856,0.0104098335080381,Inf,0.319353129647747,0.360158927169373
"2014007-001","2","11",0.343173737232802,0.0104098335080369,Inf,0.322770838471992,0.363576635993613
"2014008-016","2","11",0.325349108724595,0.0104606287537998,Inf,0.304846653111503,0.345851564337686
"2014009-010","2","11",0.34527222841556,0.0104098335080373,Inf,0.324869329654749,0.365675127176371
"2014009-012","2","11",0.332527792756616,0.0104098335080383,Inf,0.312124893995802,0.352930691517429
"2014009-034","2","11",0.305801089594562,0.0104098335080374,Inf,0.28539819083375,0.326203988355373
"2014009-041","2","11",0.332451577863847,0.0104098335080377,Inf,0.312048679103035,0.352854476624659
"2014009-046","2","11",0.293751491351469,0.0104098335080375,Inf,0.273348592590658,0.314154390112281
"2014010-010","2","11",0.346894375108707,0.0104098335080366,Inf,0.326491476347897,0.367297273869517
"W1406-001","2","11",0.340817566914984,0.0104098335080373,Inf,0.320414668154173,0.361220465675795
"W1411-017","2","11",0.326739805491266,0.0104098335080372,Inf,0.306336906730455,0.347142704252077
"W1425-006","2","11",0.323133464195531,0.0104098335080377,Inf,0.302730565434719,0.343536362956343
"2014001-005","1","12",0.341052853440338,0.0104608945363077,Inf,0.320549876903103,0.361555829977573
"2014005-019","1","12",0.331289030277003,0.0104098335080373,Inf,0.310886131516192,0.351691929037815
"2014005-024","1","12",0.31412574641784,0.0104098335080368,Inf,0.29372284765703,0.33452864517865
"2014006-046","1","12",0.336059699071313,0.0104098335080375,Inf,0.315656800310501,0.356462597832124
"2014007-001","1","12",0.334053106418998,0.0104098335080365,Inf,0.313650207658188,0.354456005179808
"2014008-016","1","12",0.31636685106272,0.0104606287537995,Inf,0.295864395449629,0.336869306675811
"2014009-010","1","12",0.331400403305933,0.010409833508037,Inf,0.310997504545123,0.351803302066744
"2014009-012","1","12",0.335034749571798,0.0104098335080381,Inf,0.314631850810985,0.355437648332611
"2014009-034","1","12",0.301989524474641,0.0104098335080371,Inf,0.28158662571383,0.322392423235452
