"genotype","rep","image","length","SE","df","asymp.LCL","asymp.UCL"
"2014001-005","1","1",4.0640602315545,0.302755818794403,Inf,3.49232986029017,4.6791108621841
"2014005-019","1","1",2.36711225331156,0.231058451062041,Inf,1.93590614058792,2.84163862539834
"2014005-024","1","1",3.29669166996854,0.272678939480312,Inf,2.78391089892613,3.8527927003741
"2014006-046","1","1",3.01778668539516,0.259257859890404,Inf,2.53104065332874,3.54731278951699
"2014007-001","1","1",3.01884353858282,0.260935238573909,Inf,2.52907999836216,3.55192733816661
"2014008-016","1","1",2.89895926703342,0.255701624681455,Inf,2.41945342155096,3.42178537187902
"2014009-010","1","1",2.61334136727906,0.241260231186351,Inf,2.16187003981488,3.10759276786899
"2014009-012","1","1",4.22586641170927,0.310994420255454,Inf,3.63830844399968,4.85738417018689
"2014009-034","1","1",3.48012669100221,0.280162470270348,Inf,2.95267846913413,4.05089517223344
"2014009-041","1","1",3.29092406386773,0.27072741279439,Inf,2.78169670667118,3.84292866408061
"2014009-046","1","1",3.82344993746866,0.293656849352436,Inf,3.26955321860595,4.4206669156945
"2014010-010","1","1",3.32776599177426,0.275986385555012,Inf,2.80882418693283,3.89067093875525
"W1406-001","1","1",3.70479768587958,0.289064446736624,Inf,3.15990191074637,4.29301372037593
"W1411-017","1","1",3.29000104226601,0.274415907908009,Inf,2.77413731673318,3.8498279093023
"W1425-006","1","1",3.96760088055681,0.299141329753337,Inf,3.40295477763441,4.57556724284234
"2014001-005","2","1",4.1423565980914,0.30565828516873,Inf,3.56493749726701,4.76309595828097
"2014005-019","2","1",2.42695525610594,0.233960917436604,Inf,1.99006041382181,2.9071703577532
"2014005-024","2","1",3.36724689325713,0.275581405854875,Inf,2.84877739265423,3.92903665322317
"2014006-046","2","1",3.08530757535795,0.262133507859034,Inf,2.59292396273668,3.62046843182639
"2014007-001","2","1",3.08637618529174,0.263837704948473,Inf,2.5909239155106,3.62514871443602
"2014008-016","2","1",2.96514489384593,0.258604091056019,Inf,2.47995031880299,3.49365972825202
"2014009-010","2","1",2.67620089922857,0.244136468570256,Inf,2.21909083500504,3.17608820642603
"2014009-012","2","1",4.30569884542671,0.313930192043991,Inf,3.7123885455402,4.94297228567213
"2014009-034","2","1",3.55260801451078,0.283064936644912,Inf,3.01947106308221,4.12906522530249
"2014009-041","2","1",3.36141786836449,0.273620681350127,Inf,2.84652122402982,3.91909458577294
"2014009-046","2","1",3.8994044245477,0.296559315727,Inf,3.33981897612451,4.50231013233403
"2014010-010","2","1",3.39865120253561,0.278899673753025,Inf,2.87399778136416,3.96726441307596
"W1406-001","2","1",3.77957018708369,0.291966913111187,Inf,3.22898568238999,4.37347495114052
"W1411-017","2","1",3.36048501258271,0.277329259553712,Inf,2.83890954693262,3.92602026810149
"W1425-006","2","1",4.04496695518765,0.302043796127901,Inf,3.47463212270477,4.65862204703366
"2014001-005","1","10",4.25265323858825,0.311990422147055,Inf,3.66314481939915,4.8861248012585
"2014005-019","1","10",2.84344781458968,0.25734712637527,Inf,2.36142484005117,3.37020703849198
"2014005-024","1","10",3.31008160911938,0.273232138698392,Inf,2.79621658753324,3.86726689006864
"2014006-046","1","10",2.42919188348826,0.232604746888739,Inf,1.99468499298098,2.90647884605095
"2014007-001","1","10",3.18495748328929,0.268018177983341,Inf,2.68131163692145,3.73192358902024
"2014008-016","1","10",3.3048923557246,0.273017880092419,Inf,2.79144727328954,3.86165769752277
"2014009-010","1","10",3.12981696647575,0.264017535226616,Inf,2.63374072763151,3.66867044829391
"2014009-012","1","10",3.90426112812567,0.296743940395082,Inf,3.34431382200237,4.50752869361209
"2014009-034","1","10",3.14654806256828,0.266397175454378,Inf,2.64607932277606,3.69033706172362
"2014009-041","1","10",3.14057446712895,0.266144183140812,Inf,2.64060158315969,3.68386761046134
"2014009-046","1","10",3.72680008019524,0.289921537381343,Inf,3.18022443826689,4.31669598148672
"2014010-010","1","10",3.28211064926695,0.272075251946291,Inf,2.77051308404912,3.8370284738479
