"genotype","rep","image","openness","SE","df","asymp.LCL","asymp.UCL"
"2014001-005","1","1",3.89288245926115,0.113241044779286,Inf,3.67409762485844,4.11799436353661
"2014005-019","1","1",3.25053506147725,0.103477433727887,Inf,3.05088655309431,3.45651063973289
"2014005-024","1","1",3.93925037060175,0.113913452417292,Inf,3.71914764144559,4.16568016963061
"2014006-046","1","1",3.73085750732015,0.10959852808182,Inf,3.51914032162449,3.94875865722242
"2014007-001","1","1",3.35434929468747,0.105116856368901,Inf,3.15148757697271,3.56353808227494
"2014008-016","1","1",4.02208209073825,0.11510486697168,Inf,3.79964423196484,4.25084701938438
"2014009-010","1","1",3.81768142192599,0.110866482227066,Inf,3.60347909226985,4.03806771678525
"2014009-012","1","1",3.43708860397258,0.107751045932742,Inf,3.22914449146469,3.65152083011408
"2014009-034","1","1",3.49370765446603,0.107278206136709,Inf,3.28660976904838,3.7071326097564
"2014009-041","1","1",3.68276498712864,0.108883265510685,Inf,3.47244931647407,3.89926387431418
"2014009-046","1","1",3.31205176566799,0.1044520048154,Inf,3.11049313305316,3.51993746815554
"2014010-010","1","1",3.12740808824203,0.102788998730168,Inf,2.92918983127115,3.33211530230728
"W1406-001","1","1",3.06905737668226,0.100547372468454,Inf,2.87515168284032,3.26929014039692
"W1411-017","1","1",3.74629383704641,0.112500707749788,Inf,3.52904097983417,3.97003565068387
"W1425-006","1","1",3.54042447193667,0.107993070433699,Inf,3.33192547824307,3.75525053550297
"2014001-005","2","1",3.96326984335267,0.114260216724217,Inf,3.74248746864383,4.19037928793424
"2014005-019","2","1",3.31488085233421,0.104496605672901,Inf,3.113234803645,3.52285397089614
"2014005-024","2","1",4.01005383163623,0.114932624362306,Inf,3.78795356217379,4.23848117097137
"2014006-046","2","1",3.79977116582385,0.110599425960317,Inf,3.58609188273772,4.01963366592377
"2014007-001","2","1",3.41970953856644,0.106136028313914,Inf,3.2148502805454,3.63089586646019
"2014008-016","2","1",4.09362278332299,0.116124038916693,Inf,3.8691873842433,4.32438525227539
"2014009-010","2","1",3.88738869444999,0.111867289600412,Inf,3.67122444401732,4.10973616134716
"2014009-012","2","1",3.50324616906295,0.108790164425124,Inf,3.29326584267534,3.71971545096621
"2014009-034","2","1",3.56040531296203,0.108297378081722,Inf,3.3513098872381,3.77582780855868
"2014009-041","2","1",3.75123507904695,0.109897436396317,Inf,3.53893204425817,3.96972207891829
"2014009-046","2","1",3.37700060820923,0.105471176760414,Inf,3.17344443528812,3.58688385100305
"2014010-010","2","1",3.19052946773285,0.103814372619702,Inf,2.99030109273534,3.39724595555982
"W1406-001","2","1",3.13159008443,0.101566544413468,Inf,2.93568685028178,3.33382038845094
"W1411-017","2","1",3.81534926100912,0.113525458615485,Inf,3.59608750737953,4.04109912780902
"W1425-006","2","1",3.60756447899384,0.109012242378712,Inf,3.39706794499397,3.82438808286642
"2014001-005","1","10",3.89756201277451,0.114749528650435,Inf,3.675901548451,4.1257114352466
"2014005-019","1","10",3.14635301963781,0.104547901580575,Inf,2.94477915399499,3.35459939750931
"2014005-024","1","10",3.95021417674411,0.114071865451531,Inf,3.72980096374617,4.17695445961477
"2014006-046","1","10",3.70250483374651,0.109181286533169,Inf,3.49160542645905,3.91958820524057
"2014007-001","1","10",3.34536884086528,0.104976049662519,Inf,3.14278309922381,3.55428165237946
"2014008-016","1","10",3.79169409470194,0.111759607586628,Inf,3.57581282384218,4.01390243543442
"2014009-010","1","10",3.76797811831651,0.110135751169259,Inf,3.55520762084675,3.98693183225077
"2014009-012","1","10",3.3301241167601,0.104736590529711,Inf,3.12800770639471,3.53856759699821
"2014009-034","1","10",3.64653840000658,0.109599511324916,Inf,3.43489084002291,3.86451302986296
"2014009-041","1","10",3.61573341096099,0.109135595689392,Inf,3.40499510891481,3.83279878287988
"2014009-046","1","10",3.39193231894682,0.105704094706131,Inf,3.18791963524075,3.6022720725256
"2014010-010","1","10",3.19019297353523,0.102512470325627,Inf,2.99243575866712,3.39427725827604
"W1406-001","1","10",3.1192620672476,0.10136643060697,Inf,2.92375104895292,3.321100155415
"W1411-017","1","10",3.69401629879242,0.110310696255963,Inf,3.48097484195756,3.9133848255
"W1425-006","1","10",3.55487332780301,0.108213211767827,Inf,3.34594286502302,3.77013086045572
"2014001-005","2","10",3.96799150030357,0.115774110323319,Inf,3.74432246987395,4.1981486430257
"2014005-019","2","10",3.2096643423412,0.105580112444872,Inf,3.00606646985476,3.41993290560604
"2014005-024","2","10",4.02111566166658,0.115091037396545,Inf,3.79870490836235,4.24985348484351
"2014006-046","2","10",3.77115733842466,0.110182209619551,Inf,3.5582957843402,3.99020210952292
"2014007-001","2","10",3.41064195541883,0.105995221607532,Inf,3.20605867347108,3.62155230723929
"2014008-016","2","10",3.86116478507514,0.112778779531641,Inf,3.6432859739091,4.08537066611389
"2014009-010","2","10",3.83723219579953,0.111149999541969,Inf,3.62247418241718,4.05817417438499
"2014009-012","2","10",3.39524905717305,0.105755762474725,Inf,3.19113510650137,3.60569007771744
"2014009-034","2","10",3.71467245141573,0.11061868326993,Inf,3.50102735112578,3.93464462157839
"2014009-041","2","10",3.68358039751776,0.110154767634405,Inf,3.4708445551653,3.90264330974293
"2014009-046","2","10",3.45765593813303,0.106723266651145,Inf,3.25164571412067,3.66999323201809
"2014010-010","2","10",3.25394165781635,0.103531642270641,Inf,3.05418690264196,3.46002348286344
"W1406-001","2","10",3.18230159732599,0.102385602551983,Inf,2.98479303872503,3.38613722579966
"W1411-017","2","10",3.76259042201982,0.111329868200977,Inf,3.54755142487867,3.98395648903368
"W1425-006","2","10",3.62214955540278,0.109232383712841,Inf,3.41122155231651,3.83940462836176
"2014001-005","1","11",3.97570591077606,0.114439340892638,Inf,3.75457245914835,4.20316643227649
"2014005-019","1","11",3.29393044937528,0.108509696193432,Inf,3.08468823474748,3.5100384277725
"2014005-024","1","11",3.91745189833527,0.113597836024676,Inf,3.69796776594157,4.14326310060168
"2014006-046","1","11",3.76413181081529,0.111352669651713,Inf,3.5490481236519,3.98554256785139
"2014007-001","1","11",3.42824121908921,0.106268342856145,Inf,3.22312262933076,3.63968687872036
"2014008-016","1","11",3.78661117710991,0.113104444884779,Inf,3.56817501656748,4.0115362934986
"2014009-010","1","11",3.82501398817863,0.112249582914142,Inf,3.60817238332363,4.04818266290635
"2014009-012","1","11",3.32371872342233,0.104635813208775,Inf,3.12179983297643,3.53196468374095
"2014009-034","1","11",3.50986998668081,0.107526061070836,Inf,3.30228631451888,3.72378072871546
"2014009-041","1","11",3.7974068414625,0.111843767070467,Inf,3.58136062104545,4.01978013175226
"2014009-046","1","11",3.38428583084987,0.105584882254145,Inf,3.1805067992562,3.59439193231625
"2014010-010","1","11",3.23397256853229,0.103213472109794,Inf,3.03484141541412,3.43943079152317
"W1406-001","1","11",3.17166365801398,0.102214329724659,Inf,2.9744907879861,3.37516359791457
"W1411-017","1","11",3.73795993680518,0.110964878834942,Inf,3.5236363056762,3.95861063780688
"W1425-006","1","11",3.61488828468513,0.109122840497117,Inf,3.40417498235643,3.83192865688655
"2014001-005","2","11",4.04683478463556,0.115458512837617,Inf,3.82370379270163,4.2762928464422
"2014005-019","2","11",3.35870223386317,0.109563619745517,Inf,3.1473938814966,3.57687537893071
"2014005-024","2","11",3.98806006012521,0.11461700796969,Inf,3.76657838742523,4.2158688026979
"2014006-046","2","11",3.83335069338279,0.112371841596727,Inf,3.61626946591312,4.05675899072517
"2014007-001","2","11",3.49431398755921,0.107287514801159,Inf,3.28719785749449,3.70775718749664
"2014008-016","2","11",3.85603549917162,0.114129164159889,Inf,3.63559050456518,4.08296860724327
"2014009-010","2","11",3.89478786879653,0.113268754859156,Inf,3.67594872363525,4.11995408383053
"2014009-012","2","11",3.38878130416351,0.105654985153789,Inf,3.18486487341133,3.59902480478841
"2014009-034","2","11",3.57672101452811,0.108545233015849,Inf,3.3671398020599,3.79262929686904
"2014009-041","2","11",3.8669296086099,0.112862939015481,Inf,3.64888584788658,4.09130043920594
"2014009-046","2","11",3.44993568294933,0.106604054199159,Inf,3.24415911104938,3.66203932472199
"2014010-010","2","11",3.29815502343521,0.104232644054807,Inf,3.09702633001077,3.50561078673238
"W1406-001","2","11",3.23522785683902,0.103233501669673,Inf,3.03605744650486,3.44072533704589
"W1411-017","2","11",3.80693885955016,0.111984050779955,Inf,3.5906176881149,4.02958710085813
"W1425-006","2","11",3.68272737849783,0.110142012442131,Inf,3.47001653586284,3.90176529100552
"2014001-005","1","12",3.95629035807382,0.11561081750804,Inf,3.73294179860912,4.18612787568711
"2014005-019","1","12",3.29879459929318,0.104242749924708,Inf,3.09764609872769,3.50627016973138
"2014005-024","1","12",3.92852555042396,0.113758278989759,Inf,3.70872695559713,4.1546512151235
"2014006-046","1","12",3.4801565389074,0.107069952911914,Inf,3.27346682231,3.6931733253775
"2014007-001","1","12",3.37446026587179,0.105431499050239,Inf,3.17098185983361,3.58426574178269
"2014008-016","1","12",4.05464359745425,0.117031418190278,Inf,3.82851028947427,4.28726501889945
"2014009-010","1","12",3.67120146175526,0.109969520376022,Inf,3.45882869735747,3.88990129602576
"2014009-012","1","12",3.31264102270187,0.104461296086405,Inf,3.1110641795305,3.52054493574595
"2014009-034","1","12",3.54004663334692,0.107987307701206,Inf,3.33155893440147,3.75486140216509
"2014009-041","1","12",3.60431647106754,0.108963157689973,Inf,3.39391614128979,3.821043870718
