"genotype","rep","image","perimeter","SE","df","asymp.LCL","asymp.UCL"
"2014001-005","1","1",15.8753323526623,1.11158157269391,Inf,13.7714198958766,18.1287395925936
"2014005-019","1","1",7.63073413787953,0.770660476876097,Inf,6.19501475046839,9.21594830843962
"2014005-024","1","1",13.0299068100317,1.0070489486807,Inf,11.1308745315231,15.0784338716893
"2014006-046","1","1",11.3247760227583,0.932708246650046,Inf,9.57047458000534,13.2266237230405
"2014007-001","1","1",10.1320602979184,0.888032394002438,Inf,8.46629618014324,11.9473191988426
"2014008-016","1","1",11.6468298061448,0.952102685646649,Inf,9.85549022426799,13.5876641711706
"2014009-010","1","1",9.97901290942517,0.875537604802887,Inf,8.33676386765362,11.7688082127019
"2014009-012","1","1",14.5147371646166,1.07104130516416,Inf,12.4914343748513,16.6898391430043
"2014009-034","1","1",12.150338468909,0.972465300213524,Inf,10.31908889585,14.1310828251169
"2014009-041","1","1",12.098668283587,0.964017176575719,Inf,10.2829973635736,14.0618752567064
"2014009-046","1","1",12.6539693583448,0.992414988503168,Inf,10.7836191147353,14.6738143851032
"2014010-010","1","1",10.3454614498764,0.904261080016866,Inf,8.64904793263437,12.1936862315431
"W1406-001","1","1",11.3540240671783,0.940058392117278,Inf,9.58629086683833,13.2712520506673
"W1411-017","1","1",12.2952480924367,0.985797132014911,Inf,10.4390268486518,14.3032805982761
"W1425-006","1","1",13.9720611055989,1.04282194961208,Inf,12.0029150336458,16.0907019607009
"2014001-005","2","1",16.4150265291593,1.13031819879672,Inf,14.2743909600203,18.7051568814439
"2014005-019","2","1",8.00628794342649,0.78939710297889,Inf,6.53384544366209,9.62822522633985
"2014005-024","2","1",13.5192725560096,1.02578557478349,Inf,11.5835171651477,15.6045227300205
"2014006-046","2","1",11.7813050683864,0.951289477174299,Inf,9.99057998233786,13.719566210605
"2014007-001","2","1",10.5641241588766,0.906769020105233,Inf,8.86163692874815,12.416106172154
"2014008-016","2","1",12.1097410437129,0.970839311749444,Inf,10.2816783494828,14.087298521092
"2014009-010","2","1",10.407835330984,0.894120790182183,Inf,8.72915881087063,12.2340479040418
"2014009-012","2","1",15.0309837385937,1.08996511570089,Inf,12.9705969963233,17.2431817386809
"2014009-034","2","1",12.6230535207596,0.991201926316319,Inf,10.7550808353474,14.6405209893208
"2014009-041","2","1",12.5703867380348,0.982664645341793,Inf,10.7181725549369,14.5701471824384
"2014009-046","2","1",13.1362894163868,1.01115161460596,Inf,11.229216060424,15.1928575554984
