"genotype","rep","image","width","SE","df","asymp.LCL","asymp.UCL"
"2014001-005","1","1",2.56074989684416,0.128625495729959,Inf,2.31485329146468,2.81905596971334
"2014005-019","1","1",1.54675259084561,0.0999663661987956,Inf,1.35702684717526,1.74888780200522
"2014005-024","1","1",2.31929501370851,0.122411290592175,Inf,2.08557802659141,2.56542146831487
"2014006-046","1","1",1.95648108344952,0.111771512485822,Inf,1.74354523601039,2.18168151394995
"2014007-001","1","1",1.90572747859498,0.110961898239277,Inf,1.69445088813443,2.12941353654479
"2014008-016","1","1",2.11148333311949,0.116798511600152,Inf,1.88876719067994,2.3466089430483
"2014009-010","1","1",1.82839066184985,0.108050754961907,Inf,1.62274736535621,2.04629854181161
"2014009-012","1","1",2.41636182643214,0.12580009576924,Inf,2.17608795979596,2.66921527371476
"2014009-034","1","1",2.2882118102848,0.121588245310398,Inf,2.05610796227763,2.53272512578123
"2014009-041","1","1",2.27657635944978,0.120564925741003,Inf,2.04640535950051,2.51901118400274
"2014009-046","1","1",2.13720899782492,0.117507876075946,Inf,1.9131025265609,2.3737249365782
"2014010-010","1","1",1.92864089352121,0.112393464804385,Inf,1.71464398639443,2.15521827262296
"W1406-001","1","1",1.83841012514952,0.108984486239086,Inf,1.63100919099194,2.05822052679636
"W1411-017","1","1",2.36132027793606,0.124363466249782,Inf,2.12386259895742,2.6113584286417
"W1425-006","1","1",2.21019705230689,0.11949754341009,Inf,1.98219090472673,2.45061266737631
"2014001-005","2","1",2.62420941712031,0.130209515955038,Inf,2.37520818914886,2.88562011258139
"2014005-019","2","1",1.5961591852859,0.101550386424159,Inf,1.40332881902306,1.80139901903801
"2014005-024","2","1",2.37970741548058,0.123995310817538,Inf,2.14288580577099,2.62893849267943
"2014006-046","2","1",2.0119990718489,0.113342755142362,Inf,1.7959832663082,2.24027870228334
"2014007-001","2","1",1.96052570211929,0.11254591846464,Inf,1.74614448906625,2.1873163826616
"2014008-016","2","1",2.16914352405318,0.118382531825515,Inf,1.94332275902114,2.40737375657449
"2014009-010","2","1",1.8820734413135,0.109622109452061,Inf,1.67334996717059,2.10306074004129
"2014009-012","2","1",2.47801741305378,0.127399445989447,Inf,2.23460932291517,2.73400597449451
"2014009-034","2","1",2.34822063405243,0.12317226553576,Inf,2.11301216345277,2.59583857214135
"2014009-041","2","1",2.33643340638163,0.122143401871281,Inf,2.1031690294864,2.58196236672023
"2014009-046","2","1",2.19521702369055,0.119091896301309,Inf,1.96800592983403,2.43483758503632
"2014010-010","2","1",1.98376523678152,0.113984321392355,Inf,1.76664986213016,2.21346019159267
"W1406-001","2","1",1.89223873010403,0.110568506464449,Inf,1.68173317335395,2.11515375434336
"W1411-017","2","1",2.42227405146655,0.125953900683983,Inf,2.18169873258318,2.67542895068907
"W1425-006","2","1",2.26918070611183,0.121081563635453,Inf,2.03806993593918,2.51270094377374
"2014001-005","1","10",2.62692057672684,0.131171309409249,Inf,2.37611977071579,2.89030185520996
"2014005-019","1","10",1.69472775179452,0.106206716166801,Inf,1.49295846389729,1.90928114110368
"2014005-024","1","10",2.31692041388642,0.122348609418015,Inf,2.08332627961318,2.56292401564891
"2014006-046","1","10",1.6963095719688,0.104074865327212,Inf,1.49845887576226,1.90642485123665
"2014007-001","1","10",1.93184791578269,0.111719747756028,Inf,1.71908596756361,2.15701933149104
"2014008-016","1","10",2.26262636924605,0.120906570244278,Inf,2.03185857981763,2.50580362616373
"2014009-010","1","10",2.00101693448432,0.113032999870011,Inf,1.78560823796702,2.2286894555865
"2014009-012","1","10",2.35183951211291,0.123267140310053,Inf,2.11644509037259,2.59964340134249
"2014009-034","1","10",2.16831964609387,0.11836004783111,Inf,1.94254294888108,2.40650581079591
"2014009-041","1","10",2.20273329451126,0.119295603276798,Inf,1.97512294231938,2.44275311419239
"2014009-046","1","10",2.14058155223601,0.117600554304084,Inf,1.91629343498269,2.37727913697859
"2014010-010","1","10",1.91794436770045,0.111316997167108,Inf,1.7059717961304,2.14232640675975
"W1406-001","1","10",1.6891349219383,0.104466164559921,Inf,1.49058973554245,1.90008957582341
"W1411-017","1","10",2.39500394020111,0.12439318728244,Inf,2.15740250695001,2.64501484094147
"W1425-006","1","10",2.32159149672409,0.122471879239764,Inf,2.08775575803984,2.5678367028976
"2014001-005","2","10",2.69118979018047,0.132761495927179,Inf,2.4372718295297,2.95768733063157
"2014005-019","2","10",1.74642554404776,0.107806183167114,Inf,1.54152037599381,1.96411284863035
"2014005-024","2","10",2.37730208011606,0.123932629643378,Inf,2.14060332325033,2.62641030447105
"2014006-046","2","10",1.74803130416315,0.105646345881702,Inf,1.54710018358362,1.96122624963642
"2014007-001","2","10",1.98701774874626,0.113303767981391,Inf,1.77115117793468,2.2152937870471
"2014008-016","2","10",2.32230093550811,0.122490590469641,Inf,2.0884285234872,2.56858281501828
"2014009-010","2","10",2.05715885669183,0.114611243182451,Inf,1.83865723956492,2.28792505728685
"2014009-012","2","10",2.41267157745502,0.124851160535417,Inf,2.1741725331222,2.6635800892771
"2014009-034","2","10",2.22674553205056,0.119944068056473,Inf,1.99786421224528,2.4680363193451
"2014009-041","2","10",2.26161792752377,0.120879623502161,Inf,2.0309029527394,2.50474236979739
"2014009-046","2","10",2.19863502261751,0.119184574529447,Inf,1.9712422827717,2.43843722995259
"2014010-010","2","10",1.9729167130135,0.112901017392471,Inf,1.75783951885096,2.20040337466531
"W1406-001","2","10",1.74074798020652,0.106050184785284,Inf,1.53909817121818,1.95480725668413
"W1411-017","2","10",2.45638815959851,0.125977207507803,Inf,2.21568210375492,2.70950368293137
"W1425-006","2","10",2.38203360797392,0.124055899465127,Inf,2.14509324669718,2.63138343673992
"2014001-005","1","11",2.61484415471048,0.129976962824988,Inf,2.36629872249826,2.87579905441202
"2014005-019","1","11",1.66475817726091,0.10602993743151,Inf,1.46342879741395,1.87905851471154
"2014005-024","1","11",2.38216001297454,0.124059190996777,Inf,2.14521320041431,2.63151629302403
"2014006-046","1","11",1.90013348560926,0.110798922088122,Inf,1.68917632253531,2.12350011617247
"2014007-001","1","11",1.96533799373739,0.112683960988788,Inf,1.75068622230868,2.19239923265536
"2014008-016","1","11",2.18091391959075,0.119518360887361,Inf,1.9529524725206,2.42145583818158
"2014009-010","1","11",1.88195693643,0.11026770110941,Inf,1.67204094734216,2.1042823930071
"2014009-012","1","11",2.36599409959365,0.123637526578321,Inf,2.12987373410716,2.61452393256941
"2014009-034","1","11",2.30642200883937,0.122071102345348,Inf,2.07337177843401,2.55188170673398
"2014009-041","1","11",2.2739661062234,0.121209168846952,Inf,2.04260523443197,2.51773644550409
"2014009-046","1","11",2.2422795153358,0.120361711412394,Inf,2.01257962959453,2.48438886856632
"2014010-010","1","11",1.99646903095203,0.113572913918461,Inf,1.78007494379721,2.22527258559611
"W1406-001","1","11",1.81625994766596,0.10832594405764,Inf,1.61014973246632,2.03477963035487
"W1411-017","1","11",2.02275036135823,0.114318001444352,Inf,1.80489592948733,2.25301426071839
"W1425-006","1","11",2.31213217825139,0.122222118892522,Inf,2.07878596085251,2.55788786313954
"2014001-005","2","11",2.67896636318391,0.131560983050241,Inf,2.42731630837941,2.94302588547772
"2014005-019","2","11",1.71600026773369,0.107644962545244,Inf,1.51150496249478,1.93346546190646
"2014005-024","2","11",2.44338045820611,0.125643211222141,Inf,2.20332902305339,2.6958413608481
"2014006-046","2","11",1.95485179422329,0.112382942313486,Inf,1.74079000855685,2.181323047379
"2014007-001","2","11",2.02098062602434,0.114267981214151,Inf,1.80322423200313,2.2511464875348
"2014008-016","2","11",2.2395081114901,0.121108968672572,Inf,2.00842868493126,2.48316711853732
"2014009-010","2","11",1.93641476228901,0.111851721334773,Inf,1.72339415060867,2.1618448414586
"2014009-012","2","11",2.4270077828301,0.125221546803685,Inf,2.18778279475111,2.67864223839835
"2014009-034","2","11",2.36666760023439,0.123655122570711,Inf,2.13051274723654,2.6152319207215
"2014009-041","2","11",2.33378905088325,0.122793189072315,Inf,2.09932355649932,2.58066401275643
"2014009-046","2","11",2.3016869115588,0.121945731637757,Inf,2.06888240322504,2.54690088738182
"2014010-010","2","11",2.05254755887844,0.115156934143824,Inf,1.83304884913112,2.28445573611501
"W1406-001","2","11",1.86976563826168,0.109909964283003,Inf,1.66055080046954,2.09138994354308
"W1411-017","2","11",2.07919424091655,0.115902021669715,Inf,1.85823518645316,2.3125627628692
"W1425-006","2","11",2.37245182019758,0.123806139117886,Inf,2.13600098020619,2.62131212767822
"2014001-005","1","12",2.46503678326114,0.127065334710341,Inf,2.22228353978138,2.72037049921297
"2014005-019","1","12",1.64221684898389,0.10300510079641,Inf,1.44653529494364,1.85030787051341
"2014005-024","1","12",2.26294241541252,0.120915014131494,Inf,2.03215807626927,2.50613622204503
"2014006-046","1","12",1.77265885165986,0.107017810506146,Inf,1.56911253110811,1.98861463970087
"2014007-001","1","12",2.03743403402379,0.114732183240753,Inf,1.81876782074889,2.26850971478794
"2014008-016","1","12",2.09205831318856,0.11705416701832,Inf,1.8689261518365,2.32777005502899
"2014009-010","1","12",1.97093704916559,0.112844359613458,Inf,1.75597090220935,2.19831266361108
"2014009-012","1","12",2.40481247063257,0.124647647760747,Inf,2.1667123040085,2.6553221047459
"2014009-034","1","12",2.36235999652177,0.123542538137643,Inf,2.12642580495795,2.61070365557485
"2014009-041","1","12",2.23468323376077,0.120157660776639,Inf,2.0053832799166,2.47639265509419
"2014009-046","1","12",2.14490967689643,0.11771938482279,Inf,1.92038865610618,2.38184016517594
"2014010-010","1","12",1.74825777650793,0.106278695225769,Inf,1.54616009528614,1.96276492521897
"W1406-001","1","12",1.6825119275787,0.104261160700811,Inf,1.48436854136339,1.89306478128326
"W1411-017","1","12",2.05566077946464,0.115244233728316,Inf,1.83599096567585,2.28774006074269
"W1425-006","1","12",2.38585684112822,0.124155416210955,Inf,2.14872143061379,2.6354017191319
"2014001-005","2","12",2.52730637370857,0.128655666904544,Inf,2.28143569006884,2.78575663714862
"2014005-019","2","12",1.69311347862893,0.104589121021773,Inf,1.49432730199618,1.90430912275094
"2014005-024","2","12",2.3226211221116,0.122499034356857,Inf,2.08873216037586,2.5689195513366
"2014006-046","2","12",1.82552310254388,0.10860183073151,Inf,1.61887215939963,2.04458351317738
"2014007-001","2","12",2.09408100649397,0.116316203466116,Inf,1.87231017062658,2.32826130985062
"2014008-016","2","12",2.14945445349965,0.118653209396842,Inf,1.92318867219209,2.38830070632789
"2014009-010","2","12",2.02665833247976,0.114428379838821,Inf,1.80858756293103,2.25713856951774
"2014009-012","2","12",2.46632146403005,0.126231667986111,Inf,2.22511667481348,2.71993572073587
"2014009-034","2","12",2.42332710243594,0.125126558363006,Inf,2.18428828827963,2.67477538408151
"2014009-041","2","12",2.29399057431222,0.121741681002002,Inf,2.06158599787556,2.53880461823814
"2014009-046","2","12",2.203021415498,0.119303405048153,Inf,1.97539577211526,2.44305652637001
"2014010-010","2","12",1.8007596042343,0.107862715451132,Inf,1.59555730042002,2.01837137553784
"W1406-001","2","12",1.7340244627649,0.105845180926174,Inf,1.5327764539571,1.94768193906196
"W1411-017","2","12",2.1125588344919,0.11682825395368,Inf,1.88978439811062,2.34774273836244
"W1425-006","2","12",2.44712447013057,0.125739436436318,Inf,2.20688443702365,2.69977397072675
"2014001-005","1","13",2.48546058175567,0.126720512163259,Inf,2.24329767555788,2.74003295544279
"2014005-019","1","13",1.70936270100579,0.105089806223335,Inf,1.50959519941039,1.92153967009045
"2014005-024","1","13",2.1706069612989,0.118422459150216,Inf,1.94470794014844,2.40891544993862
"2014006-046","1","13",1.81864521316761,0.108397052094702,Inf,1.61239562877631,2.03730426504816
"2014007-001","1","13",1.91334768919488,0.111183522126915,Inf,1.70163672389644,2.13746812198257
"2014008-016","1","13",2.12698191349948,0.117226386503861,Inf,1.90342715165877,2.36294614282945
"2014009-010","1","13",1.99976075573625,0.113666503350073,Inf,1.78318323666613,2.22874774229562
"2014009-012","1","13",2.25027378210971,0.120576079765509,Inf,2.02015374211691,2.49280328959176
"2014009-034","1","13",2.16690802349502,0.11832151409357,Inf,1.94120685102001,2.4050186634593
"2014009-041","1","13",2.19046625099267,0.118962960309532,Inf,1.96350786703635,2.42983410243825
"2014009-046","1","13",2.06347627232125,0.114783535982182,Inf,1.84463658772803,2.29457978081449
"2014010-010","1","13",1.89287867602888,0.110587201749159,Inf,1.68233647719409,2.11583034235293
"W1406-001","1","13",1.73925489244742,0.106728791721048,Inf,1.53636009451606,1.95472927028952
"W1411-017","1","13",2.14855982791903,0.117819508124626,Inf,1.92384256906317,2.38568655426415
"W1425-006","1","13",2.29549658623844,0.120373738614954,Inf,2.06563049305548,2.53748687779498
"2014001-005","2","13",2.54798599854738,0.128304532388515,Inf,2.30271846975729,2.80566299482678
"2014005-019","2","13",1.76128156025918,0.106673826448699,Inf,1.55840943607129,1.97656315193634
"2014005-024","2","13",2.22906345047534,0.120006479375579,Inf,2.00005980673238,2.47047656170755
"2014006-046","2","13",1.87218577139495,0.109981072320065,Inf,1.66283156441115,2.093949445868
"2014007-001","2","13",1.96825458538678,0.112767542352278,Inf,1.75343899749585,2.19547964076697
"2014008-016","2","13",2.18485191172278,0.118810406729224,Inf,1.95819252728958,2.42392076364525
"2014009-010","2","13",2.05588517498465,0.115250523575436,Inf,1.83620303332204,2.28797678413652
"2014009-012","2","13",2.30978629326877,0.122160099990873,Inf,2.07656163068348,2.55542042334332
"2014009-034","2","13",2.22531501453883,0.119905534318933,Inf,1.99650921947132,2.4665302770956
"2014009-041","2","13",2.24918777343533,0.120546980534895,Inf,2.01912476688651,2.49166024747341
"2014009-046","2","13",2.12048164858944,0.116361840939561,Inf,1.89854892335821,2.35467895819085
"2014010-010","2","13",1.94749316815336,0.112171221974522,Inf,1.73384634672608,2.1735494570699
"W1406-001","2","13",1.79162236439123,0.108327474313336,Inf,1.58559465236055,2.01023054874121
"W1411-017","2","13",2.206720661708,0.119403528349989,Inf,1.97889878025965,2.44695201064562
"W1425-006","2","13",2.35560023876935,0.121939446239665,Inf,2.12266541503164,2.60065926088064
"2014001-005","1","14",2.51245882592932,0.128281745116398,Inf,2.26732146186327,2.77017666246744
"2014005-019","1","14",1.60237601282172,0.102442969231119,Inf,1.40788127157752,1.8094503319022
"2014005-024","1","14",2.22893153941311,0.118615594090567,Inf,2.00251134617757,2.46747593102223
"2014006-046","1","14",1.81700195712512,0.107713713507227,Inf,1.61201924954054,2.034249247771
"2014007-001","1","14",1.95847476091134,0.112487034905773,Inf,1.74420895751295,2.18515003179898
"2014008-016","1","14",2.25735859605627,0.120054970345948,Inf,2.02818709017809,2.49879392626425
"2014009-010","1","14",1.85991180870298,0.109619964101619,Inf,1.65126536082187,2.08096772407336
"2014009-012","1","14",2.25975182972876,0.120829743337529,Inf,2.02913461827062,2.50277850867617
"2014009-034","1","14",2.21103448830222,0.119520179868373,Inf,1.98298397407909,2.4514944700146
"2014009-041","1","14",2.20066322275588,0.120054041335386,Inf,1.97165141594047,2.44225461037215
"2014009-046","1","14",2.08938496130438,0.11550189029362,Inf,1.86913732813259,2.32189641837618
"2014010-010","1","14",1.87067550016088,0.109936703122341,Inf,1.66140825520665,2.09235221260437
"W1406-001","1","14",1.65650582915845,0.103452255528359,Inf,1.45994786794806,1.8654732578581
"W1411-017","1","14",2.3224140032305,0.122493572332004,Inf,2.08853574686675,2.56870172708352
"W1425-006","1","14",2.30394260357952,0.122005471442427,Inf,2.07102100738016,2.54927366726813
"2014001-005","2","14",2.57532081219292,0.129872034153458,Inf,2.32706609255335,2.83615511163281
"2014005-019","2","14",1.6526562053693,0.10404152011266,Inf,1.4550288106454,1.86286407528063
"2014005-024","2","14",2.28816300739775,0.120181301715277,Inf,2.05867408360746,2.52977612956163
"2014006-046","2","14",1.87051849681133,0.10928508158748,Inf,1.66245558529923,2.09084523321719
"2014007-001","2","14",2.0140208310317,0.114071055131136,Inf,1.79665040504082,2.24380072451184
"2014008-016","2","14",2.31696410799292,0.121633433828863,Inf,2.08469925027447,2.56149354951549
"2014009-010","2","14",1.91405201849056,0.111203984326982,Inf,1.70230094801695,2.13821255645343
"2014009-012","2","14",2.31938872412707,0.122413763562893,Inf,2.08566689007643,2.56552002566698
"2014009-034","2","14",2.27002924183261,0.121104200093736,Inf,2.03887410501699,2.51359384613749
"2014009-041","2","14",2.25952036266563,0.121653186374774,Inf,2.02737473431084,2.50424646210904
"2014009-046","2","14",2.14674466606918,0.11708021752295,Inf,1.92340394860717,2.38234996790137
"2014010-010","2","14",1.92497102206158,0.111520723347704,Inf,1.71259915451486,2.14975235709757
"W1406-001","2","14",1.70762171990417,0.105036275753722,Inf,1.50795913610129,1.91969377119632
"W1411-017","2","14",2.38286675162882,0.124077592557368,Inf,2.14588387267258,2.63225909807433
"W1425-006","2","14",2.36415601304067,0.12358949166779,Inf,2.12812979424882,2.61259169932178
"2014001-005","1","15",2.49873396636083,0.127058431506489,Inf,2.25590875042063,2.75396864979036
"2014005-019","1","15",1.72671227912047,0.105621776623933,Inf,1.52590213469905,1.93993189103114
"2014005-024","1","15",2.5339149456717,0.127949766058369,Inf,2.2893427461116,2.79089661272106
"2014006-046","1","15",1.80277341493376,0.107923010671916,Inf,1.59745293465831,2.02050336269848
"2014007-001","1","15",1.89781214962568,0.110731221547977,Inf,1.68698767717214,2.12104608956847
"2014008-016","1","15",2.19745951796955,0.119152709133111,Inf,1.97012923315291,2.43719927027546
"2014009-010","1","15",2.06183140534068,0.115417072602165,Inf,1.84182283358402,2.29424944458659
"2014009-012","1","15",2.46980116702901,0.125581106951517,Inf,2.22979901207618,2.72206790560347
"2014009-034","1","15",2.41088257006769,0.124804863088324,Inf,2.17247426706375,2.66170034056088
"2014009-041","1","15",1.91837773390127,0.11011285210174,Inf,1.70863036136815,2.14026481007694
"2014009-046","1","15",2.11673274193708,0.116943609249035,Inf,1.89373221333147,2.35214273803194
"2014010-010","1","15",1.85789972504004,0.109560653702395,Inf,1.64936952340531,2.07883939416402
"W1406-001","1","15",1.64554490571506,0.10310942115918,Inf,1.44965888752093,1.85384039139846
"W1411-017","1","15",2.29630758283978,0.121803147105096,Inf,2.06378253505479,2.54124209811404
"W1425-006","1","15",2.23240280601887,0.120096336469111,Inf,2.00322304560884,2.47399203391816
"2014001-005","2","15",2.56142508097892,0.128642451731745,Inf,2.31549524244642,2.81976438700073
"2014005-019","2","15",1.77889198860586,0.107205796849297,Inf,1.57497722159195,1.99521622310903
"2014005-024","2","15",2.59704312375135,0.129533786283733,Inf,2.34936630159875,2.8571294133932
"2014006-046","2","15",1.85608152824505,0.10950703089728,Inf,1.6476564253771,2.07691609860226
"2014007-001","2","15",1.95249726146488,0.11231524177334,Inf,1.73856816641886,2.17883582400016
"2014008-016","2","15",2.25627408322925,0.120736729358474,Inf,2.02583917582011,2.49911845812765
"2014009-010","2","15",2.11881421143734,0.117001092827528,Inf,1.89570101708819,2.35433687327576
"2014009-012","2","15",2.53213053013596,0.127151917689266,Inf,2.28904926313396,2.78747562160629
"2014009-034","2","15",2.47246865357135,0.126388883313687,Inf,2.23095572797492,2.72639104665704
"2014009-041","2","15",1.97335624558669,0.111673059345837,Inf,1.76055021637585,2.19830056509833
"2014009-046","2","15",2.17446408110634,0.118527629474398,Inf,1.94835892990824,2.4129786997937
"2014010-010","2","15",1.91201085213545,0.111144673927758,Inf,1.70037602790823,2.13605514385194
"W1406-001","2","15",1.69649268856486,0.104693441384544,Inf,1.49750204777823,1.90789279684075
"W1411-017","2","15",2.3564217831151,0.12338716733046,Inf,2.12079211273761,2.60446092098184
"W1425-006","2","15",2.29168007636374,0.121680356694474,Inf,2.05939569336121,2.53637392685552
"2014001-005","1","16",2.36218914269375,0.123538070551046,Inf,2.12626370743879,2.61052404543803
"2014005-019","1","16",1.70852420151477,0.105785464430488,Inf,1.50747873873689,1.92215013948009
"2014005-024","1","16",2.14465260555983,0.117712330169924,Inf,1.92014541163512,2.3815692669738
"2014006-046","1","16",2.00230956143956,0.113738917406577,Inf,1.78559011342673,2.23143847694166
"2014007-001","1","16",1.72475463100647,0.104943845904159,Inf,1.52520076458342,1.93657308132597
"2014008-016","1","16",2.18735251815712,0.118878377722108,Inf,1.96055991302587,2.42655459077763
"2014009-010","1","16",1.85189224286075,0.109383379174681,Inf,1.64370949291572,2.07248446029505
"2014009-012","1","16",2.38597487828371,0.124158487386613,Inf,2.14883344837561,2.63552577568108
"2014009-034","1","16",2.40669270217972,0.124696366870826,Inf,2.16849704785453,2.65729782399416
"2014009-041","1","16",1.99894152893906,0.114423546452246,Inf,1.78096573445362,2.22949779451311
"2014009-046","1","16",2.18838107749788,0.118906324542297,Inf,1.96153369760558,2.42763792487944
"2014010-010","1","16",1.82745297060313,0.10865922026592,Inf,1.62068954603835,2.04662586265716
"W1406-001","1","16",1.5715168966107,0.1014553392633,Inf,1.378958321775,1.77665594376572
"W1411-017","1","16",2.21050190703505,0.119505784334786,Inf,1.98247960753929,2.45093367402007
"W1425-006","1","16",2.20178781843015,0.119269997987757,Inf,1.97422765168261,2.44175745266695
"2014001-005","2","16",2.42315405793889,0.125122090776305,Inf,2.18412400009163,2.67459358327545
"2014005-019","2","16",1.76043042050246,0.107376531816964,Inf,1.55626607427452,1.97717434456666
"2014005-024","2","16",2.20276088493165,0.119296350395287,Inf,1.97514906841445,2.44278216893811
"2014006-046","2","16",2.05846948872266,0.11532293763194,Inf,1.83864541811733,2.29070302681725
"2014007-001","2","16",1.77690497312345,0.106515293272642,Inf,1.57427074663619,1.99180302387039
"2014008-016","2","16",2.24603256575922,0.120462397947471,Inf,2.01613533803547,2.48833926097222
"2014009-010","2","16",1.90591644387602,0.110967399400044,Inf,1.69462907133849,2.12961328390281
"2014009-012","2","16",2.44724401322866,0.125742507611977,Inf,2.20699796072806,2.69989953321852
"2014009-034","2","16",2.46822558485966,0.12628038709619,Inf,2.22692530794198,2.7219353292666
"2014009-041","2","16",2.05505453053401,0.116014338070717,Inf,1.83396039662558,2.2887282452433
"2014009-046","2","16",2.24707482874687,0.12049034476766,Inf,2.01712282626207,2.48943629872093
"2014010-010","2","16",1.88112208227669,0.110243240491283,Inf,1.67125403511942,2.10339959692322
"W1406-001","2","16",1.62131433644632,0.103046581145195,Inf,1.42563653862712,1.82957171417625
"W1411-017","2","16",2.26948960175489,0.12108980456015,Inf,2.03836267966664,2.51302599133241
"W1425-006","2","16",2.26065989595917,0.12085401821312,Inf,2.02999510661913,2.50373415278846
"2014001-005","1","17",2.61739096887615,0.130040245106084,Inf,2.36872150567213,2.8784698995695
"2014005-019","1","17",1.63676710390032,0.102834046032308,Inf,1.44142081103709,1.84452286425281
"2014005-024","1","17",2.25957334103882,0.120824971316066,Inf,2.02896548257088,2.50259066699603
"2014006-046","1","17",1.86076759165424,0.109645180379984,Inf,1.6520717207757,2.08187293002203
"2014007-001","1","17",2.0330420050389,0.11460845434379,Inf,1.8146182959459,2.26387518162116
"2014008-016","1","17",2.22152041747848,0.119803259514309,Inf,1.99291507734456,2.46253522510166
"2014009-010","1","17",1.98697489707129,0.113302546230248,Inf,1.77111072084795,2.21524854078389
"2014009-012","1","17",2.5328118126194,0.127921911733304,Inf,2.28829420653325,2.78973888619482
"2014009-034","1","17",2.21505773101773,0.119628871105284,Inf,1.98679418588482,2.4557307436399
"2014009-041","1","17",1.95365996498398,0.111687446182272,Inf,1.74088850524331,2.17869524932833
"2014009-046","1","17",2.17047774314365,0.119232059710809,Inf,1.94307743640726,2.41045852207869
"2014010-010","1","17",1.77326311833925,0.107036049150005,Inf,1.56968105070241,1.98925465346535
"W1406-001","1","17",1.7628859711016,0.10672240178415,Inf,1.55991864100568,1.97826276868677
"W1411-017","1","17",2.25774586268178,0.12077610154067,Inf,2.02723378721354,2.50066740563927
"W1425-006","1","17",2.3270892147478,0.12261680519108,Inf,2.09296942641855,2.57361847056631
"2014001-005","2","17",2.68154420764317,0.131624265331337,Inf,2.42977012184685,2.94572776092878
"2014005-019","2","17",1.68757985730929,0.104418066257671,Inf,1.48912894185357,1.89844024025427
"2014005-024","2","17",2.31920789548945,0.122408991541429,Inf,2.08549541442901,2.56532984403915
"2014006-046","2","17",1.91492016617499,0.111229200605347,Inf,1.70311967270396,2.13913012713528
"2014007-001","2","17",2.08962830738262,0.116192474569153,Inf,1.86809997569712,2.32356610655737
"2014008-016","2","17",2.28065397833957,0.121387279739673,Inf,2.04894401561315,2.52477340855525
"2014009-010","2","17",2.04292085094073,0.114886566455611,Inf,1.82395205212489,2.27429911724582
"2014009-012","2","17",2.59592633240689,0.129505931958667,Inf,2.34830410372823,2.8559580285748
"2014009-034","2","17",2.27410578099908,0.121212891330647,Inf,2.04273761327367,2.51788341621375
"2014009-041","2","17",2.00913819237583,0.113265647664151,Inf,1.79327389399017,2.23726707420485
"2014009-046","2","17",2.22893250387078,0.120822672067439,Inf,1.9984142081017,2.47203037963785
