"trait","sample_size","rep","f_val"
"area",5,1,8.68633862484092
"area",5,2,6.13515464755401
"area",5,3,4.4347725440026
"area",5,4,5.35919518736709
"area",5,5,5.77380806817203
"area",5,6,4.52924134203387
"area",5,7,8.73023221412571
"area",5,8,4.1594625361832
"area",5,9,6.03352492043169
"area",5,10,4.14584481184972
"area",5,11,9.12241300334912
"area",5,12,6.46292849101065
"area",5,13,4.31019329194894
"area",5,14,8.28896379401767
"area",5,15,3.33778571370162
"area",5,16,9.36521505818788
"area",5,17,6.05613782006051
"area",5,18,6.09816860488511
"area",5,19,4.34187213716655
"area",5,20,4.31398758946138
"area",5,21,8.97424184808887
"area",5,22,6.20500986867613
"area",5,23,3.65986870173
"area",5,24,6.51789380306825
"area",5,25,4.22059412894591
"area",5,26,6.05021321472543
"area",5,27,6.58365636256098
"area",5,28,5.38429763264773
"area",5,29,5.6970515462096
"area",5,30,6.94060832800419
"area",5,31,5.80840175386497
"area",5,32,3.41069367499325
"area",5,33,5.7057652764298
"area",5,34,5.64585783292398
"area",5,35,6.02941262361726
"area",5,36,8.7889424017144
"area",5,37,9.82087460521941
"area",5,38,4.50251901610533
"area",5,39,5.75255503061568
"area",5,40,6.74813571354427
"area",5,41,5.24485012900709
"area",5,42,2.95953975961794
"area",5,43,8.48593336793664
"area",5,44,7.46252036694542
"area",5,45,7.70915341130882
"area",5,46,4.23973681583641
"area",5,47,3.38224915322319
"area",5,48,4.19540152298103
"area",5,49,4.91984560350624
"area",5,50,5.74640545691027
"area",5,51,5.12222435793918
"area",5,52,5.63501246861967
"area",5,53,8.045747802377
"area",5,54,4.01640993455074
"area",5,55,3.475463611098
"area",5,56,3.46390105624294
"area",5,57,3.46360871678851
"area",5,58,3.42696798491455
"area",5,59,7.48589317857501
"area",5,60,5.11774393737132
"area",5,61,3.47014907851586
"area",5,62,4.33077615519198
"area",5,63,3.82118328420869
"area",5,64,7.49682905083375
"area",5,65,6.40255050444837
"area",5,66,6.67884711951036
"area",5,67,4.9848606773826
"area",5,68,5.26439669272539
"area",5,69,4.49593461787171
"area",5,70,6.06176360012057
"area",5,71,5.0697601242282
"area",5,72,4.19109747045519
"area",5,73,5.03975807599371
"area",5,74,6.51094805319641
"area",5,75,4.98297827596518
"area",5,76,6.01154594453464
"area",5,77,3.40080473138644
"area",5,78,6.99346400543717
"area",5,79,6.32637731787762
"area",5,80,5.62518212207135
"area",5,81,4.73025218398748
"area",5,82,6.65937510964432
"area",5,83,4.48970579207564
"area",5,84,3.68247770841041
"area",5,85,4.07679059864009
"area",5,86,2.92063559307377
"area",5,87,7.35415880477228
"area",5,88,8.6637615797111
"area",5,89,5.6313020299227
"area",5,90,6.32471737153507
"area",5,91,2.67994071490096
"area",5,92,3.48996373505368
"area",5,93,3.89356502189275
"area",5,94,4.12458161253557
"area",5,95,7.11176382950581
"area",5,96,4.71246134163296
"area",5,97,4.10865513333504
"area",5,98,9.67861059701161
"area",5,99,12.6421753148182
"area",5,100,5.3511434429023
"area",10,1,6.99318378911596
"area",10,2,10.2787040675374
"area",10,3,12.6235956263834
"area",10,4,6.78190483453349
"area",10,5,5.79026821552119
"area",10,6,7.17764537693903
"area",10,7,11.4459416120359
"area",10,8,6.32813695607555
"area",10,9,6.33010785035444
"area",10,10,11.4785526336765
"area",10,11,4.64974060204013
"area",10,12,15.5976359843438
"area",10,13,7.57882584858035
"area",10,14,7.42398687378305
"area",10,15,7.54843331275721
"area",10,16,15.3859458629908
"area",10,17,9.76537937756636
"area",10,18,5.29327780253655
"area",10,19,6.34546184131953
"area",10,20,12.236497492295
"area",10,21,11.5184830500962
"area",10,22,11.4178249003852
"area",10,23,6.40493983693409
"area",10,24,8.72721377690925
"area",10,25,5.45763041787525
"area",10,26,4.19784150302751
"area",10,27,11.185570564742
"area",10,28,11.8078707345435
"area",10,29,10.456927161226
"area",10,30,3.19913208598558
"area",10,31,11.1239247115694
"area",10,32,13.29949433226
"area",10,33,4.62354114210203
"area",10,34,7.97263584076745
"area",10,35,12.1789664704229
"area",10,36,10.4652383988793
"area",10,37,12.7646572982364
"area",10,38,4.18852010283817
"area",10,39,11.4450697342182
"area",10,40,6.77989263873305
"area",10,41,9.51848172748649
"area",10,42,15.8410339724122
"area",10,43,11.332401033623
"area",10,44,9.91165845863273
"area",10,45,10.251287895596
"area",10,46,9.28163054997894
"area",10,47,6.16897023677603
"area",10,48,6.65415707406414
"area",10,49,5.39988565194986
"area",10,50,6.38580422254468
"area",10,51,7.79193890482725
"area",10,52,9.38077283989273
"area",10,53,4.44030155052621
"area",10,54,5.21525910427225
"area",10,55,6.2809607574102
"area",10,56,6.68096736513922
"area",10,57,4.92887652342426
"area",10,58,7.04110704742936
"area",10,59,8.92114078886603
"area",10,60,6.34424916031362
"area",10,61,9.47521955237805
"area",10,62,10.3104420595677
"area",10,63,13.3026401698363
"area",10,64,7.44953637064766
"area",10,65,8.44273769656239
"area",10,66,4.78689659317074
"area",10,67,9.25855748737499
"area",10,68,11.8536968204397
"area",10,69,7.96983672347305
"area",10,70,14.2943402415375
"area",10,71,6.54378970861628
"area",10,72,12.8712978845744
"area",10,73,4.60683649512254
"area",10,74,5.08512963818814
"area",10,75,7.46878539606617
"area",10,76,9.19089442149168
"area",10,77,5.06547084523215
"area",10,78,5.05541934874576
"area",10,79,2.25421287939233
"area",10,80,11.9099343296298
"area",10,81,3.60951794033555
"area",10,82,9.63951444390461
"area",10,83,7.7063050820896
"area",10,84,10.8547402856854
"area",10,85,11.3804319751952
"area",10,86,13.7838197325279
"area",10,87,5.30589092343723
"area",10,88,9.73161535170574
"area",10,89,8.62833578171086
"area",10,90,11.4169290328278
"area",10,91,5.67438343455593
"area",10,92,12.8070183537442
"area",10,93,9.42799705912513
"area",10,94,9.79099476747855
"area",10,95,13.673678556664
"area",10,96,4.16742883283552
"area",10,97,9.88419963881397
"area",10,98,11.1919998110311
"area",10,99,6.94819124113487
"area",10,100,6.17548027562208
"area",15,1,7.13428639426273
"area",15,2,9.25983047545759
"area",15,3,8.58116515461269
"area",15,4,7.74669367823199
"area",15,5,9.41227699221342
"area",15,6,14.2433083997522
"area",15,7,6.49447704429981
"area",15,8,11.5950090835594
"area",15,9,9.09603995840943
"area",15,10,6.04910821429068
"area",15,11,6.77711201085421
"area",15,12,4.67530222623368
"area",15,13,18.6698167928
"area",15,14,7.56800907951287
"area",15,15,6.29514306405745
"area",15,16,10.7545727042407
"area",15,17,15.9750175991783
"area",15,18,9.00640411113519
"area",15,19,5.95709778576562
"area",15,20,10.7291582224679
"area",15,21,14.8582524802575
"area",15,22,11.7103732495615
"area",15,23,17.6209619232388
"area",15,24,5.49049361356569
"area",15,25,8.85324724409
"area",15,26,11.9603634724651
"area",15,27,17.3741299399735
"area",15,28,5.87209490350962
"area",15,29,11.0297628999952
"area",15,30,9.14944877338601
"area",15,31,8.18055543755562
"area",15,32,6.11784770534145
"area",15,33,13.8300416275568
"area",15,34,6.55592409058256
"area",15,35,7.4182423507199
"area",15,36,7.1595257687512
"area",15,37,9.43088536566304
"area",15,38,16.345796135302
"area",15,39,11.8363769495188
"area",15,40,6.22418345434235
"area",15,41,14.450840424486
"area",15,42,15.1420176238022
"area",15,43,10.8257682554892
"area",15,44,18.4411616987465
"area",15,45,11.8915909967546
"area",15,46,9.15347571509774
"area",15,47,10.6894071960516
"area",15,48,13.6753128575441
"area",15,49,16.9711798509239
"area",15,50,14.394951297503
"area",15,51,6.88797103701089
"area",15,52,7.05156694595791
"area",15,53,9.65131918153739
"area",15,54,8.242324381099
"area",15,55,11.8486795782434
"area",15,56,7.79632156416636
"area",15,57,9.37033434847612
"area",15,58,9.95680120225947
"area",15,59,7.65999620478767
"area",15,60,11.0020321563893
"area",15,61,8.16466964957988
"area",15,62,7.58420294603775
"area",15,63,6.13657016075137
"area",15,64,11.8553373455211
"area",15,65,9.25529774985958
"area",15,66,5.83608696637432
"area",15,67,12.4137994761508
"area",15,68,14.5115647975889
"area",15,69,12.9649747838912
"area",15,70,6.33936554554515
"area",15,71,6.15140790269392
"area",15,72,7.6797840801988
"area",15,73,10.0114877088572
"area",15,74,6.17766455764846
"area",15,75,17.749378016544
"area",15,76,13.696712353845
"area",15,77,8.23392406478165
"area",15,78,7.72995664395679
"area",15,79,19.5078671141813
"area",15,80,12.4408236196523
"area",15,81,10.0312323222824
"area",15,82,5.86414892896253
"area",15,83,11.9687133531982
"area",15,84,13.5503472257092
"area",15,85,11.2213617005442
"area",15,86,9.34518665525664
"area",15,87,6.80809467842618
"area",15,88,6.97395937190388
"area",15,89,13.7423386779028
"area",15,90,9.56449018473307
"area",15,91,10.6831184512284
"area",15,92,17.8241488451151
"area",15,93,11.0008649134327
"area",15,94,23.2781233768185
"area",15,95,14.8636369160913
"area",15,96,10.0568785589764
"area",15,97,7.4371122387539
"area",15,98,16.1803161691724
"area",15,99,4.20501774452224
"area",15,100,7.23046847653519
"area",20,1,14.3018924695211
"area",20,2,11.0399911791378
"area",20,3,16.0323021829636
"area",20,4,16.1351845694876
"area",20,5,12.4930601919485
"area",20,6,6.8317169040337
"area",20,7,12.8203379132187
"area",20,8,5.95457681611293
"area",20,9,18.9595179507148
"area",20,10,10.7493952443941
"area",20,11,12.455279373194
"area",20,12,7.63751409820723
"area",20,13,11.1998840949748
"area",20,14,10.2661333238666
"area",20,15,12.497339919308
"area",20,16,9.41432592929166
"area",20,17,10.4043530025631
"area",20,18,7.37828492788515
"area",20,19,15.2626082339551
"area",20,20,9.87624424267163
"area",20,21,8.06616450883221
"area",20,22,9.34267718476649
"area",20,23,6.01830861879194
"area",20,24,18.6729083860367
"area",20,25,12.3576029454712
"area",20,26,13.7315672065934
"area",20,27,13.0308177803545
"area",20,28,8.58418360567242
"area",20,29,9.59153255961401
"area",20,30,25.2635706665382
"area",20,31,13.3675752070893
"area",20,32,23.3637937111429
"area",20,33,10.5216105103526
"area",20,34,7.20964110418548
"area",20,35,15.9474383299795
"area",20,36,11.1927608682627
"area",20,37,5.73819783151793
"area",20,38,7.30841251816734
"area",20,39,26.2255110889917
"area",20,40,12.9216596223677
"area",20,41,12.8340900469488
"area",20,42,7.40191283508058
"area",20,43,7.07633620242262
"area",20,44,12.5882455962383
"area",20,45,7.66158092028744
"area",20,46,8.91393245455577
"area",20,47,7.39614695156445
"area",20,48,8.99860406067396
"area",20,49,5.21337210982027
"area",20,50,21.1304409422636
"area",20,51,15.7593209775656
"area",20,52,9.23939796536432
"area",20,53,18.2357482662918
"area",20,54,18.0309919958852
"area",20,55,6.29875286758056
"area",20,56,9.81261512313015
"area",20,57,9.51681098869462
"area",20,58,12.2286361147258
"area",20,59,4.4115956637101
"area",20,60,14.2277862260544
"area",20,61,13.4639754548803
"area",20,62,10.2838309121492
"area",20,63,12.4430536839712
"area",20,64,11.1228772791664
"area",20,65,14.9094123744589
"area",20,66,17.0057344017777
"area",20,67,8.27875225784217
"area",20,68,9.69532522750985
"area",20,69,12.9244351761795
"area",20,70,11.8791886985924
"area",20,71,9.38427329930144
"area",20,72,7.9587787750467
"area",20,73,8.08284274202886
"area",20,74,7.35363699779769
"area",20,75,21.9539139280848
"area",20,76,9.86382644975901
"area",20,77,7.71151709571076
"area",20,78,14.7239677218139
"area",20,79,12.4096425932792
"area",20,80,10.7181376423168
"area",20,81,10.6917427646087
"area",20,82,10.4430160907722
"area",20,83,8.97696252879948
"area",20,84,7.99116191107038
"area",20,85,12.5331179937747
"area",20,86,20.5487842573605
"area",20,87,12.8459795768793
"area",20,88,7.98884618631739
"area",20,89,9.27090786853729
