"trait","sample_size","rep","rho","p_value","n_intersect"
"area",5,1,0.853170189098999,6.79794203365694e-07,3
"area",5,2,0.877196885428254,4.54611830847982e-07,3
"area",5,3,0.779755283648498,1.77505434621018e-06,3
"area",5,4,0.952391546162403,0,3
"area",5,5,0.856284760845384,6.50403164365597e-07,3
"area",5,6,0.842046718576196,7.83941691225871e-07,2
"area",5,7,0.906562847608454,2.11321598169642e-07,3
"area",5,8,0.826918798665184,9.25099536325821e-07,3
"area",5,9,0.889655172413793,3.44558584405579e-07,3
"area",5,10,0.826028921023359,9.33595195561268e-07,2
"area",5,11,0.823804226918799,9.55065702408065e-07,3
"area",5,12,0.838932146829811,8.12870531013105e-07,3
"area",5,13,0.93503893214683,4.30481114092328e-08,3
"area",5,14,0.885205784204672,3.82930039941163e-07,3
"area",5,15,0.838932146829811,8.12870531013105e-07,3
"area",5,16,0.855839822024472,6.54605774653501e-07,3
"area",5,17,0.838042269187987,8.2112688271919e-07,3
"area",5,18,0.882091212458287,4.10445993827485e-07,3
"area",5,19,0.830033370411568,8.95674921778308e-07,2
"area",5,20,0.850500556173526,7.04919860966398e-07,3
"area",5,21,0.895884315906563,2.92971885437537e-07,3
"area",5,22,0.834037819799778,8.58297711346275e-07,2
"area",5,23,0.834037819799778,8.58297711346275e-07,3
"area",5,24,0.910122358175751,1.86220355768183e-07,3
"area",5,25,0.883426028921023,3.98592159296063e-07,3
"area",5,26,0.935483870967742,4.10174139183829e-08,3
"area",5,27,0.866518353726363,5.53776779721165e-07,3
"area",5,28,0.84293659621802,7.75662074102097e-07,2
"area",5,29,0.87853170189099,4.42465494140302e-07,2
"area",5,30,0.829143492769744,9.0404030199085e-07,3
"area",5,31,0.874082313681869,4.83207736382634e-07,3
"area",5,32,0.796218020022247,1.31289929825478e-06,3
"area",5,33,0.853170189098999,6.79794203365694e-07,3
"area",5,34,0.893659621802002,3.1108854839107e-07,3
"area",5,35,0.931924360400445,5.77750868400127e-08,3
"area",5,36,0.856284760845384,6.50403164365597e-07,3
"area",5,37,0.886095661846496,3.75163443684134e-07,3
"area",5,38,0.935483870967742,4.10174139183829e-08,3
"area",5,39,0.809121245828698,1.11395091389947e-06,3
"area",5,40,0.838487208008899,8.16998955427958e-07,3
"area",5,41,0.804226918798665,1.1795590912025e-06,3
"area",5,42,0.917241379310345,1.39422305657094e-07,3
"area",5,43,0.814460511679644,1.05130867073358e-06,3
"area",5,44,0.867853170189099,5.41236884147505e-07,3
"area",5,45,0.898553948832036,2.71712312531436e-07,3
"area",5,46,0.845161290322581,7.54926387238932e-07,3
"area",5,47,0.793103448275862,1.37691788592505e-06,3
"area",5,48,0.917686318131257,1.36651698435725e-07,3
"area",5,49,0.880311457174638,4.26384799226438e-07,3
"area",5,50,0.816240266963293,1.03193419179606e-06,3
"area",5,51,0.862958843159066,5.87327232152939e-07,2
"area",5,52,0.847830923248053,7.29966420024868e-07,3
"area",5,53,0.87230255839822,4.9968805544745e-07,2
"area",5,54,0.875862068965517,4.66825940961107e-07,2
"area",5,55,0.855839822024472,6.54605774653501e-07,3
"area",5,56,0.810011123470523,1.10295550562562e-06,2
"area",5,57,0.861179087875417,6.04140847224578e-07,3
"area",5,58,0.92258064516129,1.07393004379415e-07,3
"area",5,59,0.899888765294772,2.61286899287163e-07,3
"area",5,60,0.864738598442714,5.70535360335613e-07,3
"area",5,61,0.839822024471635,8.04611364727098e-07,3
"area",5,62,0.846941045606229,7.3829611353645e-07,3
"area",5,63,0.913681868743048,1.62244598897197e-07,3
"area",5,64,0.872747497219132,4.95559430882954e-07,3
"area",5,65,0.911457174638487,1.77095871287186e-07,3
"area",5,66,0.885205784204672,3.82930039941163e-07,3
"area",5,67,0.851835372636263,6.92366086901813e-07,3
"area",5,68,0.847385984427141,7.3413248541845e-07,3
"area",5,69,0.789543937708565,1.46112482076727e-06,3
"area",5,70,0.893659621802002,3.1108854839107e-07,2
"area",5,71,0.772191323692992,2.13557465244259e-06,3
"area",5,72,0.846051167964405,7.46616067221363e-07,3
