,File_name,QR_name,Label,Location_X,Location_Y,Area,Perimeter,Major_axis,Minor_axis,Orientaion,Eccentricity,Solidity,Median_R,Median_G,Median_B,std_R,std_G,std_B,Mean_R,Mean_G,Mean_B
0,IMG_0001.JPG,b'advanced_22_W1108-404_1',1,608,1463,114004,1865.5058428472707,515,296,-1.1107106887753182,0.8190963065962976,0.8619167145492485,54.0,130.0,123.0,13.107120195019258,16.831837507126796,17.58512310602849,54.91753725779146,130.79191775655028,121.51772321781006
1,IMG_0001.JPG,b'advanced_22_W1108-404_1',2,728,2805,141028,2424.6673144547576,557,332,-0.7376673955928482,0.802969641231572,0.8070733661439854,57.0,134.0,124.0,10.895116684724517,16.26412905956326,17.016316185568524,57.52997652931708,132.1087167705475,122.6822736071816
2,IMG_0001.JPG,b'advanced_22_W1108-404_1',3,743,2075,77153,1485.0479066835019,420,252,0.4827966169965093,0.7993276688021981,0.8479003879419296,58.0,141.0,132.0,22.577400359842596,18.900732756027253,18.566526546126493,62.18721484861054,142.98977343425963,134.35971847781005
3,IMG_0001.JPG,b'advanced_22_W1108-404_1',4,1250,1112,113872,1824.3271272970803,435,342,-1.1348846260781114,0.6168111008060406,0.8611270758341147,41.0,120.0,114.0,10.273665076172806,18.42709332658535,21.995873013790316,44.048203669064115,119.37174522046878,111.56727349369022
4,IMG_0001.JPG,b'advanced_22_W1108-404_1',5,1299,2139,86152,1461.3321779309638,416,269,-0.978160601435359,0.76314642738418,0.9170472084730428,54.0,127.0,117.0,10.19432099224095,14.810659947803273,16.468448788225153,54.309340576429754,128.25761743914754,115.45639632737867
5,IMG_0001.JPG,b'advanced_22_W1108-404_1',6,1559,2810,134289,1874.3931444750624,544,318,1.5058331859518543,0.8109054485355084,0.9403135568890787,50.0,127.0,120.0,8.493037612258899,13.856771007545143,14.917425047229301,50.58149648516621,125.58390176337424,117.91959817705231
6,IMG_0001.JPG,b'advanced_22_W1108-404_1',7,1802,1759,130667,1737.800215362499,569,297,-1.1249351043425813,0.8532395022988023,0.9396717869059947,52.0,124.0,116.0,8.872346290939522,15.089589790315264,16.132329722177975,51.38576217225598,121.85236404267368,113.84221603171444
7,IMG_0001.JPG,b'advanced_22_W1108-404_1',8,2129,3061,118713,1854.9373003523467,460,339,0.6403868689834834,0.6748090201486298,0.9087937409570762,52.0,121.0,113.0,9.274185693571066,14.848509885461318,16.909729783236497,51.706356560415124,120.85440393557518,110.47536896017252
8,IMG_0001.JPG,b'advanced_22_W1108-404_1',9,2297,1031,75238,1238.0113267570425,340,286,0.8314051372057623,0.5402212857792351,0.9365765003174287,55.0,121.0,117.0,5.648202833257129,13.119981814604175,17.572039589229778,55.054507755492644,120.76115475098688,113.87887608490503
9,IMG_0001.JPG,b'advanced_22_W1108-404_1',10,2298,2304,92072,1773.0134187980955,445,273,-1.4809204603329373,0.7896975936746499,0.8548852842591991,54.0,126.0,117.0,11.610485842731945,13.74286752147103,14.435814813469406,55.042825645425815,127.05494672589631,116.07616947790292
